": Zillow is offloading homes — raising ‘red flags’ about the real-estate market","MarketWatch","Zillow 'may have leaned into home acquisition at the wrong time,' one analyst said.   ","2021-11-01 20:49:00","Business","https://www.marketwatch.com/story/zillow-pauses-home-buying-raising-red-flags-about-the-real-estate-market-11634678311?rss=1&siteid=rss","1bb54a8958a8a08fedf7191d7bee05556cfee1fbd777d6f8c87ab2999437a664","29365102093cb9074b08a880facbf508"
"Earnings Results: Chegg stock plummets as CEO says ‘the education industry is experiencing a slowdown’","MarketWatch","Online education specialist Chegg Inc. highlighted a sudden slowdown in the education industry Monday afternoon, sending its own shares plunging more than 20% and damaging other online-education stocks.   ","2021-11-01 20:36:00","Business","https://www.marketwatch.com/story/the-education-industry-is-experiencing-a-slowdown-chegg-ceo-says-as-stock-tanks-11635799701?rss=1&siteid=rss","1bb54a8958a8a08fedf7191d7bee05556cfee1fbd777d6f8c87ab2999437a664","0bb079c2334a8c536edf45abe8b3a6f6"
"The New York Post: Vaccine-skeptical actress Kristy Swanson of ‘Buffy the Vampire Slayer’ note hospitalized with COVID-19","MarketWatch","Yesterday I took an ambulance ride to the hospital. I’m still here with pneumonia, I’m on oxygen etc, all covid related of course.   ","2021-11-01 20:19:00","Business","https://www.marketwatch.com/story/vaccine-skeptical-actress-kristy-swanson-of-buffy-the-vampire-slayer-note-hospitalized-with-covid-19-11635801592?rss=1&siteid=rss","1bb54a8958a8a08fedf7191d7bee05556cfee1fbd777d6f8c87ab2999437a664","100754a90874d193e069c5c4cdda1a0c"
": Facebook whistleblower Frances Haugen says company has ‘a Meta problem’","MarketWatch","Rather than cast itself as Meta and pursue leadership in futuristic metaverse technology, as the company announced last week, the beleaguered social networking company would be better served if it acknowledged its repeated mistakes and company co-founder Mark Zuckerberg relinquished his chief executive title, Haugen said.   ","2021-11-01 20:11:00","Business","https://www.marketwatch.com/story/facebook-whistleblower-frances-haugen-says-company-has-a-meta-problem-11635801099?rss=1&siteid=rss","1bb54a8958a8a08fedf7191d7bee05556cfee1fbd777d6f8c87ab2999437a664","a72c7705cb35d13aab1eca2ad0ccdcee"
": Paid leave is out, universal pre-K is in. What women — especially women of color — have at stake in the pandemic recovery","MarketWatch","‘It's easy to take the people out of the policy.’   ","2021-11-01 20:03:00","Business","https://www.marketwatch.com/story/paid-leave-is-out-universal-pre-k-is-in-what-women-especially-women-of-color-have-at-stake-in-the-pandemic-recovery-11635556158?rss=1&siteid=rss","1bb54a8958a8a08fedf7191d7bee05556cfee1fbd777d6f8c87ab2999437a664","2d687b2c6ff522431580fbe289e847bf"
"NewsWatch: Can you buy Shiba Inu on Robinhood?","MarketWatch","Meme cryptocurrency Shiba Inu has jumped nearly 900% over the past month.   ","2021-11-01 20:00:09","Business","https://www.marketwatch.com/latest-news","1bb54a8958a8a08fedf7191d7bee05556cfee1fbd777d6f8c87ab2999437a664","d41ade79b5ef66ce637364d9aebeab59"
"The Fast Foodist: Arby’s new sandwich goes toe-to-toe with a cult classic: McDonald’s McRib","MarketWatch","Arby's latest offering is a country-style rib sandwich that promises smoky authenticity. Does it deliver?   ","2021-11-01 19:57:00","Business","https://www.marketwatch.com/story/arbys-new-sandwich-goes-toe-to-toe-with-a-cult-classic-mcdonalds-mcrib-11635557680?rss=1&siteid=rss","1bb54a8958a8a08fedf7191d7bee05556cfee1fbd777d6f8c87ab2999437a664","053beb758e67e8b4e9d731698d5520d2"
"The Moneyist: My boyfriend and I have been married before. He has a child. If we get hitched, should we get a prenup?","MarketWatch","'We’ve both come out of messy divorces and lost more than we care to admit in the process so we’re both a bit gun shy.'   ","2021-11-01 19:55:00","Business","https://www.marketwatch.com/story/my-boyfriend-and-i-have-been-married-before-he-has-a-child-if-we-get-hitched-should-we-get-a-prenup-11635391749?rss=1&siteid=rss","1bb54a8958a8a08fedf7191d7bee05556cfee1fbd777d6f8c87ab2999437a664","ff52bf990b0c8db7f42ed73936a60b4c"
"The Margin: McDonald’s put a McRib NFT on the menu for $20 — here’s how to get one","MarketWatch","While some NFTs go for millions, McDonald's values its McRib digital asset at just $20   ","2021-11-01 19:55:00","Business","https://www.marketwatch.com/story/mcdonalds-put-a-mcrib-nft-on-the-menu-for-20-heres-how-to-get-one-11635791187?rss=1&siteid=rss","1bb54a8958a8a08fedf7191d7bee05556cfee1fbd777d6f8c87ab2999437a664","df7c48fd9cba0d463f7c51a5ed72a046"
"The Moneyist: ‘I do not trust my new half-siblings’: My biological father, 87, lives in my hometown. Do I have rights to inheritance from him?","MarketWatch","'His wife has no idea about this.'   ","2021-11-01 19:53:00","Business","https://www.marketwatch.com/story/my-biological-father-is-an-87-year-old-man-in-my-hometown-do-i-have-rights-to-inheritance-from-him-11635775402?rss=1&siteid=rss","1bb54a8958a8a08fedf7191d7bee05556cfee1fbd777d6f8c87ab2999437a664","6592f9ba6e3580288448cb79e08f90d3"
"Washington Watch: Apple, other big companies take part in new Biden effort with promises on clean energy","MarketWatch","President Joe Biden on Tuesday plans to unveil a “First Movers Coalition” that involves pledges around clean energy from Apple Inc. and other big companies, according to senior Biden administration officials.   ","2021-11-02 04:01:00","Business","https://www.marketwatch.com/story/apple-other-big-companies-take-part-in-new-biden-effort-with-promises-on-clean-energy-11635829310?rss=1&siteid=rss","1bb54a8958a8a08fedf7191d7bee05556cfee1fbd777d6f8c87ab2999437a664","a64c0642e3a424fd4cfc8f37967cbeab"
