"Fuse Network’s Peepl Receives £700k Investment to Develop a Community-driven Food Delivery Alternative for Liverpool City Region Restaurants","BTCMANAGER","In an announcement made today, Steve Rotheram, Metro Mayor of the Liverpool City Region unveiled a £700k investment in Peepl, a Fuse Network-powered innovative payments and rewards technology that enables local restaurants an alternative to the existing food delivery behemoths such as Deliveroo, Uber Eats, and Just Eat. Providing an Alternative to Restaurants Specifically, theRead More","2021-11-01 15:00:29","Crypto","https://btcmanager.com/fuse-network-peepl-700k-investment-community-food-delivery-liverpool-city-restaurants/","1c6b5c6c32cb1d4a31471530cea16d4a695ecde31bc30413c940467147643e0e","40d6d06e481fd8421c9ce66805a3375e"
"Bitcoin, Ether, Major Altcoins – Weekly Market Update November 1, 2021","BTCMANAGER","The total crypto market cap added $56 billion to its valuation for the last seven days and now stands at $2,658 billion. The top 10 coins were mostly in green for the same time period with Shiba Inu (SHIB) and Binance Coin (BNB) leading the group with 97.5 and 12.7 percent of price increase respectively. BitcoinRead More","2021-11-01 14:00:02","Crypto","https://btcmanager.com/bitcoin-ether-major-altcoins-weekly-market-update-november-1-2021/","1c6b5c6c32cb1d4a31471530cea16d4a695ecde31bc30413c940467147643e0e","654913011d0cd4043bcbd7cc6164670b"
"Candao is Enabling Identity Management Through NFTs","BTCMANAGER","NFTs are currently part of the wave driving the crypto ecosystem forward. The uniqueness of digital collectibles is what has given rise to the hair-splitting prices at which they are being sold on various marketplaces. We have also seen collectors capitalize on this to create domains that end with the extension .eth using their realRead More","2021-11-01 13:30:22","Crypto","https://btcmanager.com/candao-identity-management-nft/","1c6b5c6c32cb1d4a31471530cea16d4a695ecde31bc30413c940467147643e0e","f62c14968c2b936d76e5666515175fe2"
"One Confirmation with Jefferson Nunn – with Special Guest, Adriaan Brink","BTCMANAGER","https://downloads.pod.co/46e775e8-1e59-4307-a2df-0915e4f5219c/adc38e9c-4bb2-4a34-be9d-5090e797c664.mp3 Jefferson: Live from BTC Manager world headquarters in One Conformation with Jeff.   Today we have a very special guest, Adriaan Brink who joins us today to talk about all things that are fun, FUN Token. I’m excited. I like FUN.   So Adrian, Hi, how are you?  Adrian: Hi.   Good to talk to you, Jeff. FUN,Read More","2021-11-01 13:23:34","Crypto","https://btcmanager.com/one-confirmation-with-jefferson-nunn-with-special-guest-adriaan-brink/","1c6b5c6c32cb1d4a31471530cea16d4a695ecde31bc30413c940467147643e0e","2d21d8b07158f2471b9c93e7223084ac"
"Automata Network Launches Mainnet and Announces $20 Million Ecosystem Fund to Foster Privacy-focused DeFi","BTCMANAGER","Decentralized service protocol Automata Network today announced its Mainnet launch along with a $20 million Ecosystem Incentive Program, a press release shared with BTCManager reads. Automata Network Mainnet Goes Live In an important announcement made today, decentralized middleware services provider Automata Network stated it had finally launched its eagerly-awaited Mainnet. Notably, the Automata Network MainnetRead More","2021-11-01 13:00:53","Crypto","https://btcmanager.com/automata-network-mainnet-20-million-ecosystem-fund-privacy-defi/","1c6b5c6c32cb1d4a31471530cea16d4a695ecde31bc30413c940467147643e0e","2e6f6f2c85f7b91bd3fe346a0361cb90"
"AscendEX Launches KavaSwap Liquidity Mining","BTCMANAGER","AscendEX is thrilled to announce the launch of liquidity mining for Kava Swap on AscendEX. Starting on Nov 1 at 1 p.m. and continuing until Nov 8 at 12:00 a.m UTC. Users will be able to lock up their KAVA tokens to earn high yield over time. During the event, users who deposit KAVA andRead More","2021-11-01 13:00:06","Crypto","https://btcmanager.com/ascendex-launches-kavaswap-liquidity-mining/","1c6b5c6c32cb1d4a31471530cea16d4a695ecde31bc30413c940467147643e0e","911fefa425356966d10f5144ea50bacf"
"Polker – Revolutionizing Play-to Earn Industry and a Highly Rewarding NFT Competition","BTCMANAGER","The gaming industry’s undisputed future is presented by P2E blockchain-based games that allow players to benefit. These games are poised to transform the gaming industry by offering a fair playing field for all participants, giving player’s ownership, means for income generation, while at the same time allowing them to profit from the time they spendRead More","2021-11-01 13:00:01","Crypto","https://btcmanager.com/polker-play-earn-industry-rewarding-nft-competition/","1c6b5c6c32cb1d4a31471530cea16d4a695ecde31bc30413c940467147643e0e","fa7600a6e502de024b6875a22b6d4ee5"
"YouSwap V2 Launched on 1st November 2021 with Eight Upgrades in One Package","BTCMANAGER","After intensive development, the highly anticipated DEX YouSwap V2 was officially launched on November 1st 2021! The following features are the major upgrades in this new protocol: 1) Liquidity Aggregation 2) Candlestick Chart 3) Popular Coin Recommendation 4) Cross-chain Bridge 2.0 5) Market Depth Graph 6) New Mining Scenarios 7) Mining Pool 2.0 8) NewRead More","2021-11-01 11:00:17","Crypto","https://btcmanager.com/youswap-v2-1st-november-2021-eight-upgrades-package/","1c6b5c6c32cb1d4a31471530cea16d4a695ecde31bc30413c940467147643e0e","34edb26fd0ba78760484a8e0671efc30"
"CODI Finance, New DeFi Ecosystem Built On Solana, Announces Integration with Chainlink","BTCMANAGER","CODI Finance, a premium DeFi ecosystem with features such as IDO Launchpad Protocol, Decentralized Exchange, and NFT Marketplace, has the private sale of its native token “$CODI.”. Don’t miss out until it’s not too late. Find out more by contacting here: sales@codi.finance CODI+Chainlink CODI Finance is a Solana-powered ecosystem that includes a decentralized exchange (DEX),Read More","2021-11-01 11:00:10","Crypto","https://btcmanager.com/codi-finance-new-defi-ecosystem-built-on-solana-announces-integration-with-chainlink/","1c6b5c6c32cb1d4a31471530cea16d4a695ecde31bc30413c940467147643e0e","e85f04db197808a4c1f6428cf1e64551"
"AAX Becomes First Cryptocurrency Exchange to Enable wETH Direct Deposits","BTCMANAGER","In a recent announcement, next-gen cryptocurrency exchange AAX unveiled the launch of Wrapped Ether (wETH) direct deposits and withdrawals, making it the first and only crypto platform to allow users to trade the token with other ERC-20 tokens on decentralized blockchains. AAX Integrates Support for wETH LSEG Technology-powered cryptocurrency exchange AAX recently announced it hadRead More","2021-11-01 10:00:37","Crypto","https://btcmanager.com/aax-first-cryptocurrency-exchange-weth-direct-deposits/","1c6b5c6c32cb1d4a31471530cea16d4a695ecde31bc30413c940467147643e0e","dae77d63ff338ac24671d8ce3ef674ed"
