"BehaVR Reimagines Mental Health Care With Virtual Reality And Behavioral Science","PSFK","The Nashville-based, virtual reality and behavioral health innovator is on a hot streak of new digital therapeutic product launches and partnerships","2021-10-29 20:49:36","Business","https://www.psfk.com/2021/10/behavr-reimagines-mental-health-care-with-virtual-reality-and-behavioral-science.html","371be5a94bd5b9fb907409de8c40e567b35bdbb8f4548c892f2d60f2a19c2c57","6337e0b6ff5f1e7d675531e98c67f86c"
"Kama Integrates Sexuality Education With Psychotherapy Solutions","PSFK","The self-described first-to-market sexual wellness company uses breath and touch techniques to shift users’ focus back to their bodies, increase sensation, and find balance. ","2021-10-29 20:49:31","Business","https://www.psfk.com/2021/10/kama-integrates-sexuality-education-with-psychotherapy-solutions.html","371be5a94bd5b9fb907409de8c40e567b35bdbb8f4548c892f2d60f2a19c2c57","cfdaef75f91f33ba8fb2a5d34e3216da"
"[New report] Enhancing Consumer Self-Care","PSFK","As the world evolves at lightning speed, it can sometimes be difficult for consumers to keep up with the pace of their daily existence, much less feel comfortably grounded within the ever changing situations and myriad double-binds of modern life. New solutions and innovative approaches are taking advantage of the holistic understandings arising around personal wellness, self-care, and mental health to provide a deep array of personalized and connected resources for consumers to grow, heal, and ","2021-10-29 17:42:38","Business","https://www.psfk.com/report/enhancing-consumer-self-care","371be5a94bd5b9fb907409de8c40e567b35bdbb8f4548c892f2d60f2a19c2c57","3fa634195868e9859df929a8d3961edd"
"RTFKT Sells Cybersneakers To The Metaverse And That’s Just The Beginning","PSFK","Digital powerhouse RTFKT (pronounced “artifact”) is creating the future of IRL and virtual fashion.","2021-10-22 19:38:03","Business","https://www.psfk.com/2021/10/rtfkt-sells-cybersneakers-to-the-metaverse-and-thats-just-the-beginning.html","371be5a94bd5b9fb907409de8c40e567b35bdbb8f4548c892f2d60f2a19c2c57","e2d5c355630e5167fa90a32854fd9846"
"Browzwear Launches Digi-Hubs For Next-Gen 3D Fashion Upskilling","PSFK","The new training centers from Browzwear, a leading provider of 3D fashion design, development, and merchandising software solutions, will offer digital upskilling to garment design and technical professionals in key manufacturing regions.","2021-10-22 19:28:51","Business","https://www.psfk.com/2021/10/browzwear-launches-digi-hubs-for-next-gen-3d-fashion-upskilling.html","371be5a94bd5b9fb907409de8c40e567b35bdbb8f4548c892f2d60f2a19c2c57","15ec94f6f7e01906e84e1d10823c8a6f"
"Allbirds Shares Proprietary Carbon Footprint Calculator With Other Brands","PSFK","San Francisco footwear company, and tech-set favorite, Allbirds, is making its unique carbon footprint calculator available for use by other brands in an effort to push the fashion industry at-large toward a more transparent and sustainable future. ","2021-10-22 19:21:03","Business","https://www.psfk.com/2021/10/allbirds-shares-proprietary-carbon-footprint-calculator-with-other-brands.html","371be5a94bd5b9fb907409de8c40e567b35bdbb8f4548c892f2d60f2a19c2c57","f6c0522183247065527457ff52b750ea"
"[New report] Digitizing the Fashion Industry","PSFK","Throughout its history, fashion has been about a particular form of self-expression and autonomy. Unique and self fulfilling, drawing from its own period, place, and context to produce an aesthetic that elucidates the present moment in such a way as to highlight what might come next, fashion is not only about style but also about identity; it provides a way for the wearer to express through their clothes who they are at any given time. It is no surprise then, that as the world transitions to an ","2021-10-22 12:43:53","Business","https://www.psfk.com/report/digitizing-the-fashion-industry","371be5a94bd5b9fb907409de8c40e567b35bdbb8f4548c892f2d60f2a19c2c57","a4f0d3b161ab4991c73ee0eb3dcc7e50"
"[New report] The Connected Wellness Experience","PSFK","A new generation of digitally connected devices, wearables, and software platforms are leveraging consumer data to create intelligent feedback loops and provide users with personalized treatments and recommendations for their physical and mental health, as well as promote positive behavior both in-the-moment and over the long-term. Currently there are just-under two active IoT-connected devices per individual existing in the world, and for any active connected (but not necessarily IoT) device, t","2021-10-16 09:45:45","Business","https://www.psfk.com/report/the-connected-wellness-experience","371be5a94bd5b9fb907409de8c40e567b35bdbb8f4548c892f2d60f2a19c2c57","024473a5dd63d6b4b3f64548545d3f2e"
"Peloton Testing Ways To Provide Users Feedback In Real-Time","PSFK","A new real-time workout coach called “The Tiger” from exercise equipment and media company Peloton is reportedly under development. ","2021-10-15 16:29:08","Business","https://www.psfk.com/2021/10/peloton-testing-ways-to-provide-users-feedback-in-real-time.html","371be5a94bd5b9fb907409de8c40e567b35bdbb8f4548c892f2d60f2a19c2c57","8ef2c0c154bdec3ce147eec1874b3e2f"
"ASICS Is Measuring The Effect Of Exercise On Mental Outlook","PSFK","Through its Mind Uplifter app, fitness retailer ASICS provides runners and other athletes with an interactive overview of the various ways exercise affects their emotional and cognitive states.","2021-10-15 16:17:35","Business","https://www.psfk.com/2021/10/asics-is-measuring-the-effect-of-exercise-on-mental-outlook.html","371be5a94bd5b9fb907409de8c40e567b35bdbb8f4548c892f2d60f2a19c2c57","e3935d71ac658b773b634e0dfd891ad3"
