"Trivago Sees the Travel Market Returning to Mostly ‘Normal’ Starting Mid-2022","Skift","With the exception of business travel, Trivago officials argued that travel will be back to a semblance of normalcy by next spring or summer. That would be great for Trivago, but none of that is assured. -Dennis Schaal","2021-11-01 16:30:00","Travel","https://skift.com/2021/11/01/trivago-sees-the-travel-market-returning-to-mostly-normal-starting-mid-2022/","3a34d533cce962ef92d331edae0e98b7b168ea668d8d4d1b87a530189792314d","77488f141177f06b244bc5fd19c4d553"
"Bangkok Welcomes First Tourists Quarantine-Free","Skift","Bangkok lifting the quarantine requirement for overseas visitors was an overdue step because Thailand needed to simplify the reopening process to attract the international visitors its economy needs. -Rashaad Jorden","2021-11-01 14:15:00","Travel","https://skift.com/2021/11/01/bangkok-welcomes-first-tourists-quarantine-free/","3a34d533cce962ef92d331edae0e98b7b168ea668d8d4d1b87a530189792314d","35067e5dea00a4d6d3d722e123351e33"
"Skift Webinar: Changes to Traveler Behavior in 2021 and Beyond","Skift","In this recent webinar, Travelzoo and Accor joined Skift to explore traveler sentiment in today’s unique moment. The panelists identified key ways travel brands across every industry sector can inspire potential customers, turn traveler dreams into reality, and kickstart the drive to revive their businesses. -Travelzoo","2021-11-01 14:07:00","Travel","https://skift.com/2021/11/01/skift-webinar-changes-to-traveler-behavior-in-2021-and-beyond/","3a34d533cce962ef92d331edae0e98b7b168ea668d8d4d1b87a530189792314d","241df3ac1a3133acbf370fd0a6b47b68"
"New Survey: Share Your Insights on the State of Loyalty in Travel and Hospitality","Skift","What does the future of customer loyalty hold for brands and operators in the travel, tourism, and hospitality industries? Share your thoughts by taking this digital assessment by PK and Salesforce. All respondents will receive ​​complimentary access to the report.-PK","2021-11-01 13:45:00","Travel","https://skift.com/2021/11/01/new-survey-share-your-insights-on-the-state-of-loyalty-in-travel-and-hospitality/","3a34d533cce962ef92d331edae0e98b7b168ea668d8d4d1b87a530189792314d","33c8199476756e7d0bc7270e501bfca4"
"Will Hyatt Finally Report a Profitable Pandemic Quarter This Week?","Skift","Most hotel companies have posted a profit at least once during the pandemic, and Hyatt needs to do the same this week to avoid shareholder and analyst scrutiny. -Cameron Sperance","2021-11-01 06:30:00","Travel","https://skift.com/2021/11/01/will-hyatt-finally-report-a-profitable-pandemic-quarter-this-week/","3a34d533cce962ef92d331edae0e98b7b168ea668d8d4d1b87a530189792314d","38c6eaff8d9b0c80a4296a0dc624f09c"
"Business Travel Trade Group Looks to Move Past Pandemic, Internal Controversies","Skift","The Global Business Travel Association has had a rough ride over the past two years. Its convention in Orlando later this month represents a chance to turn a corner, and it wants to bring the industry along with it.-Matthew Parsons","2021-11-01 06:00:00","Travel","https://skift.com/2021/11/01/business-travel-trade-group-looks-to-move-past-pandemic-internal-controversies/","3a34d533cce962ef92d331edae0e98b7b168ea668d8d4d1b87a530189792314d","3a7375ce17cc8d2f9b248f2acb796783"
"Australia Slightly Reopens for International Travel","Skift","The door is barely opening for international travel in Australia, but it won't be a silver bullet to reviving the country's tourism industry until a broader reopening takes place.-Cameron Sperance","2021-10-31 19:17:27","Travel","https://skift.com/2021/10/31/australia-slightly-reopens-for-international-travel/","3a34d533cce962ef92d331edae0e98b7b168ea668d8d4d1b87a530189792314d","8eca127402a4f11afeefac5594e38692"
"Sonder Lowers Valuation to $1.9 Billion as Market Conditions Change; Raises More Money","Skift","Sonder revenues are rising while its losses are widening, even as SPAC deals are coming under additional pressure. The new funding raised will help continue to focus on building the company and hopefully keep the economics in check enough to complete the deal.-Rafat Ali","2021-10-31 16:51:16","Travel","https://skift.com/2021/10/31/sonder-lowers-valuation-to-1-9-billion-as-market-conditions-change-raises-more-money/","3a34d533cce962ef92d331edae0e98b7b168ea668d8d4d1b87a530189792314d","c42a38e0ae4fa382ebcc0ec25297edcd"
"American Airlines Blames Massive Cancellations on Labor and Bad Weather","Skift","Airlines like American and Southwest desperately need more workers to avoid a cancellation catastrophe during the upcoming busy holiday travel season.-Cameron Sperance","2021-10-31 10:41:51","Travel","https://skift.com/2021/10/31/american-airlines-blames-massive-cancellations-on-labor-and-bad-weather/","3a34d533cce962ef92d331edae0e98b7b168ea668d8d4d1b87a530189792314d","182b0e91df33f46c5843b0e8f67ee99c"
"Hotel Hiring Spree Lowers Spain’s Unemployment Rate","Skift","Lifting travel restrictions in Spain unlocked pent-up travel demand and ushered in a major wave of hiring across the country's hospitality sector. That's a major win for national employment figures.-Cameron Sperance","2021-10-31 10:36:14","Travel","https://skift.com/2021/10/31/hotel-hiring-spree-lowers-spains-unemployment-rate/","3a34d533cce962ef92d331edae0e98b7b168ea668d8d4d1b87a530189792314d","7ba37241502cc1e1d21874be9e7ad04d"
"New Graduate Hotels President Sees Bigger Opportunities Beyond College Towns","Skift","Graduate Hotels is a company already roaring ahead with expansion into new countries and major cities. The pandemic can provide further investment opportunities for the college town-focused company to elbow into new destinations.-Cameron Sperance","2021-11-02 06:30:00","Travel","https://skift.com/2021/11/02/new-graduate-hotels-president-sees-bigger-opportunities-beyond-college-towns/","3a34d533cce962ef92d331edae0e98b7b168ea668d8d4d1b87a530189792314d","ac23c84678bdbe495e339fda1dfb9ecd"
"Japan to Ease Covid Border Restrictions But Businesses Want More","Skift","Businesses are frustrated by Japan's efforts to open up, arguing that the country should match protocols in other places with proof of vaccination. Still, Tuesday's news from Tokyo was a significant step forward for Japan.-Tom Lowry","2021-11-02 11:45:00","Travel","https://skift.com/2021/11/02/japan-starts-to-ease-covid-border-restrictions-but-businesses-want-more/","3a34d533cce962ef92d331edae0e98b7b168ea668d8d4d1b87a530189792314d","31c7f8e3ae4137ad4a7dc6e32803c42f"
"Hyatt Floods Into Europe as $2.7 Billion Apple Leisure Deal Closes","Skift","Hyatt’s focus on European growth instead of Asia looks like a smart call in light of the erratic recovery in China, where many of Hyatt’s competitors have focused their development pipelines.-Cameron Sperance","2021-11-02 14:10:46","Travel","https://skift.com/2021/11/02/hyatt-floods-into-europe-as-2-7-billion-apple-leisure-deal-closes/","3a34d533cce962ef92d331edae0e98b7b168ea668d8d4d1b87a530189792314d","a9100b605fd8e2cd63c5889fa1d3bed4"
"Avis Defies Skeptics With Stellar Quarter as Vaccinated Drivers Hit the Road","Skift","Avis has gotten an enormous boost from more people getting back on the road, and adding electric vehicles to its fleet could help give the company another huge source of revenue. -Rashaad Jorden","2021-11-02 19:10:00","Travel","https://skift.com/2021/11/02/avis-defies-skeptics-with-stellar-quarter-as-vaccinated-drivers-hit-the-road/","3a34d533cce962ef92d331edae0e98b7b168ea668d8d4d1b87a530189792314d","8a2ca482bb1fb287344b0077131f2b72"
"Sabre Loses a Chunk of Expedia’s North America Business","Skift","It was a coup for Sabre to reach a global distribution deal with Expedia 17 years ago when most online travel agencies partnered with just one such distributor. It's certainly not a positive for Sabre to lose that business now. -Dennis Schaal","2021-11-02 20:30:00","Travel","https://skift.com/2021/11/02/sabre-loses-a-chunk-of-expedias-north-america-business/","3a34d533cce962ef92d331edae0e98b7b168ea668d8d4d1b87a530189792314d","0c2dfb42e3e1b95e6bb2a6ef313a575d"
"New England Hotel Chain Purchase Underscores Reach of Leisure Travel Trends","Skift","South Florida and California aren’t the only durable U.S. leisure hotel markets. Expect more investors like EOS to look for opportunities outside the traditional destinations most popular with hotel funds. -Cameron Sperance","2021-11-03 06:30:00","Travel","https://skift.com/2021/11/03/new-england-hotel-chain-purchase-underscores-reach-of-leisure-travel-trends/","3a34d533cce962ef92d331edae0e98b7b168ea668d8d4d1b87a530189792314d","13c02b853320caedd4f92ee69bec3af2"
"Spain Quadruples Foreign Tourists But Still Off 2019 Highs","Skift","Officials in Spain said earlier this year they'd be happy to have half as many visitors as the country saw in pre-pandemic times. September's numbers were robust for foreign visitors, but pretty much fell in line with their wishes.-Tom Lowry","2021-11-03 10:30:00","Travel","https://skift.com/2021/11/03/spain-quadruples-foreign-tourists-but-still-off-2019-highs/","3a34d533cce962ef92d331edae0e98b7b168ea668d8d4d1b87a530189792314d","a08b0823471732792d123352a8de2ff4"
"Executive Q&A: Hotels Must Prioritize Payments Now to Stay Ahead in the Future","Skift","For many hotels, getting payments right is just another cost, system to integrate, or added complexity to manage. But when done correctly, payments can go beyond simply being used for transactions to better connect the dots between who your guests are and the experiences and services you provide.-Adyen","2021-11-03 14:00:00","Travel","https://skift.com/2021/11/03/executive-qa-hotels-must-prioritize-payments-now-to-stay-ahead-in-the-future/","3a34d533cce962ef92d331edae0e98b7b168ea668d8d4d1b87a530189792314d","fa47125e9a100832bbf781172c4e9ac2"
