"New Pocket Squares And Vintage Clothing In The PTO Shop","Put This On","  As we settle into a new normal, you may have more opportunities to dress up and step out, and...The post New Pocket Squares And Vintage Clothing In The PTO Shop appeared first on Put This On.","2021-11-01 19:17:24","Fashion","https://putthison.com/new-pocket-squares-and-vintage-clothing-in-the-pto-shop/","4347f37ff817b5d943b845e1728036533196b830cd2712633351d532222a8f1b","d152a888a3413c1056fea1f9104a60b2"
"Inside Track: October 31st – November 6th Edition","Put This On","Here are our hand-selected favorites from eBay for this week, plus heads-up on recommended sales. If you’re a member of...The post Inside Track: October 31st – November 6th Edition appeared first on Put This On.","2021-10-31 06:07:21","Fashion","https://putthison.com/inside-track-october-31st-november-6th-edition/","4347f37ff817b5d943b845e1728036533196b830cd2712633351d532222a8f1b","29518820cb37d2de30e8c79249d035b3"
"Our Beloved Sponsors","Put This On","As an independent menswear site, Put This On wouldn’t be possible without our sponsors. So every two weeks, we like...The post Our Beloved Sponsors appeared first on Put This On.","2021-10-30 21:48:50","Fashion","https://putthison.com/our-beloved-sponsors-90/","4347f37ff817b5d943b845e1728036533196b830cd2712633351d532222a8f1b","409d4ddf50d389fc6701c0ecbc10340b"
"EBay Roundup","Put This On","There’s a lot of great menswear on eBay, but to find the good stuff, you have to search for hours....The post EBay Roundup appeared first on Put This On.","2021-10-29 18:21:48","Fashion","https://putthison.com/ebay-roundup-386/","4347f37ff817b5d943b845e1728036533196b830cd2712633351d532222a8f1b","e4093227d99b07342325580a37635349"
"A Clothing Emergency Kit","Put This On","I love saucy foods and nice clothes, but the two don’t always mix. The other day, I was enjoying a...The post A Clothing Emergency Kit appeared first on Put This On.","2021-10-25 19:23:22","Fashion","https://putthison.com/a-clothing-emergency-kit/","4347f37ff817b5d943b845e1728036533196b830cd2712633351d532222a8f1b","07d843b646f008faa37bbe397049921d"
"Inside Track: October 24th – October 30th Edition","Put This On","Here are our hand-selected favorites from eBay for this week, plus heads-up on recommended sales. If you’re a member of...The post Inside Track: October 24th – October 30th Edition appeared first on Put This On.","2021-10-24 05:34:51","Fashion","https://putthison.com/inside-track-october-24th-october-30th-edition/","4347f37ff817b5d943b845e1728036533196b830cd2712633351d532222a8f1b","6181e4f4627efaaa65f5c7e2da79a623"
"Style & Fashion Drawings: Leaf Peepin","Put This On","The post Style & Fashion Drawings: Leaf Peepin appeared first on Put This On.","2021-10-20 19:30:32","Fashion","https://putthison.com/style-fashion-drawings-leaf-peepin/","4347f37ff817b5d943b845e1728036533196b830cd2712633351d532222a8f1b","30a23ccc25bbfa6496ad4fda0e694308"
"Style & Fashion Drawings: City Fits","Put This On","The post Style & Fashion Drawings: City Fits appeared first on Put This On.","2021-11-03 17:18:11","Fashion","https://putthison.com/style-fashion-drawings-city-fits/","4347f37ff817b5d943b845e1728036533196b830cd2712633351d532222a8f1b","2cc8c0cd98740a6d7000558554e0e608"
"Inside Track: November 7th – November 13th Edition","Put This On","Here are our hand-selected favorites from eBay for this week, plus heads-up on recommended sales. If you’re a member of...The post Inside Track: November 7th – November 13th Edition appeared first on Put This On.","2021-11-07 06:27:09","Fashion","https://putthison.com/inside-track-november-7th-november-13th-edition/","4347f37ff817b5d943b845e1728036533196b830cd2712633351d532222a8f1b","f75747659f6d1671e8db047e6b1ab151"
"#PTOMan Highlights","Put This On","Our Instagram followers are some stylish people so, once a week, we like to bring you some highlights from our...The post #PTOMan Highlights appeared first on Put This On.","2021-11-05 22:34:27","Fashion","https://putthison.com/ptoman-highlights-172/","4347f37ff817b5d943b845e1728036533196b830cd2712633351d532222a8f1b","26374bb0dc66eab43029309f0ac89d80"
"Swan Songs: One Of The Best Books On Classic Men’s Style","Put This On","About six years ago, I bought some kidskin gloves from Lavabre Cadet, one of the few boutique glovers left in...The post Swan Songs: One Of The Best Books On Classic Men’s Style appeared first on Put This On.","2021-11-08 22:19:42","Fashion","https://putthison.com/swan-songs-one-of-the-best-books-on-classic-mens-style/","4347f37ff817b5d943b845e1728036533196b830cd2712633351d532222a8f1b","5904279e27d7719a9168eacdd598123d"
"Vintage Rings In The Put This On Shop","Put This On","The Put This On Shop is full of good stuff, so every Monday we’ll be showcasing some of our favorites....The post Vintage Rings In The Put This On Shop appeared first on Put This On.","2021-11-08 17:51:15","Fashion","https://putthison.com/vintage-rings-in-the-put-this-on-shop/","4347f37ff817b5d943b845e1728036533196b830cd2712633351d532222a8f1b","022ceb08e145b6ea28cbbe827d7f958f"
"Style & Fashion Drawings: Aspirational Lifestyle","Put This On","The post Style & Fashion Drawings: Aspirational Lifestyle appeared first on Put This On.","2021-11-10 19:23:40","Fashion","https://putthison.com/style-fashion-drawings-aspirational-lifestyle/","4347f37ff817b5d943b845e1728036533196b830cd2712633351d532222a8f1b","04dac0e717e660c57a3b7c0ef3ce70dd"
"Inside Track: November 14th – November 20th Edition","Put This On","Here are our hand-selected favorites from eBay for this week, plus heads-up on recommended sales. If you’re a member of...The post Inside Track: November 14th – November 20th Edition appeared first on Put This On.","2021-11-14 08:17:19","Fashion","https://putthison.com/inside-track-november-14th-november-20th-edition/","4347f37ff817b5d943b845e1728036533196b830cd2712633351d532222a8f1b","0f65f0b74c7e0b3d8ba5be77800d75fb"
"Bags In The Put This On Shop","Put This On","There’s a lot of good stuff in the Put This On Shop, so every Monday, we are highlighting some of...The post Bags In The Put This On Shop appeared first on Put This On.","2021-11-15 20:47:24","Fashion","https://putthison.com/bags-in-the-put-this-on-shop/","4347f37ff817b5d943b845e1728036533196b830cd2712633351d532222a8f1b","75a419112ef089f8ad007e151e3e7386"
"Paris Meridian: Arnys","Put This On","The following is an excerpt from the newly released book Swan Songs: Souvenirs of Paris Elegance, a book about a...The post Paris Meridian: Arnys appeared first on Put This On.","2021-11-15 23:23:51","Fashion","https://putthison.com/paris-meridian-arnys/","4347f37ff817b5d943b845e1728036533196b830cd2712633351d532222a8f1b","8f81f2b0d0cfa41a6efdf7e7fd9a0c8f"
"Style & Fashion Drawings: What To Wear On Two Wheels","Put This On","The post Style & Fashion Drawings: What To Wear On Two Wheels appeared first on Put This On.","2021-11-17 18:42:56","Fashion","https://putthison.com/style-fashion-drawings-what-to-wear-on-two-wheels/","4347f37ff817b5d943b845e1728036533196b830cd2712633351d532222a8f1b","e89afa3da5094535e05bdf597318bca4"
