"Gucci CEO Sees 2021 Sales in Line With 2019, Perhaps a Little Higher","The Business of Fashion","","2021-11-16 12:31:31","Fashion","https://www.businessoffashion.com/news/luxury/gucci-ceo-sees-2021-sales-in-line-with-2019-perhaps-a-little-higher","746ca28a87d25c938cd5071fa9f10bf0978be2b0978f613c29996a99cfade1ad","8a2de95294aa187d28be708a76980619"
"Online Marketplace Faire’s $400 Million Funding Lifts Valuation to $12.4 Billion","The Business of Fashion","","2021-11-16 12:24:20","Fashion","https://www.businessoffashion.com/news/retail/online-marketplace-faires-400-million-funding-lifts-valuation-to-124-billion","746ca28a87d25c938cd5071fa9f10bf0978be2b0978f613c29996a99cfade1ad","51344e2098539b4484317bb8689142b4"
"Metaverse: A $50 Billion Revenue Opportunity for Luxury","The Business of Fashion","","2021-11-16 12:23:56","Fashion","https://www.businessoffashion.com/news/technology/metaverse-a-50-billion-revenue-opportunity-for-luxury","746ca28a87d25c938cd5071fa9f10bf0978be2b0978f613c29996a99cfade1ad","b238ba67cee44e6c7eceaf04dd2b00c9"
"Gucci Returns to Milan Fashion Week Calendar","The Business of Fashion","","2021-11-16 12:20:32","Fashion","https://www.businessoffashion.com/news/luxury/gucci-returns-to-milan-fashion-week-calendar","746ca28a87d25c938cd5071fa9f10bf0978be2b0978f613c29996a99cfade1ad","eddc05c80ba09d09eb0b8eac4e106896"
"Can Other Brands Replicate Figs’ Scrubs Success?","The Business of Fashion","The scrubs giant changed the market for healthcare apparel. Now a new crop of brands, selling high-end options, sneakers and accessories, are capitalising on the opportunity.","2021-11-16 05:30:00","Fashion","https://www.businessoffashion.com/articles/retail/can-other-brands-replicate-figs-scrubs-success","746ca28a87d25c938cd5071fa9f10bf0978be2b0978f613c29996a99cfade1ad","594c814ffc0e40a421f48dee31b6b7f7"
"Why a Handbag Brand Is Betting on Cannabis","The Business of Fashion","Red carpet-regular Edie Parker thinks handbags and fashion-forward cannabis can sell side-by-side, as founder Brett Heyman plots fall expansion for her ‘Edie Parker Flower’ line.","2021-11-16 05:30:00","Fashion","https://www.businessoffashion.com/articles/retail/why-a-handbag-brand-is-betting-on-cannabis","746ca28a87d25c938cd5071fa9f10bf0978be2b0978f613c29996a99cfade1ad","befb9140289badfb211ef9b86017c400"
"Harry Styles Launches Beauty Brand","The Business of Fashion","","2021-11-15 21:23:59","Fashion","https://www.businessoffashion.com/news/beauty/harry-styles-launches-beauty-brand","746ca28a87d25c938cd5071fa9f10bf0978be2b0978f613c29996a99cfade1ad","6c6aa846daf8bd59ee7aececb6ac8394"
"Who Is Matthieu Blazy, Bottega Veneta’s New Creative Director?","The Business of Fashion","The former deputy of Raf Simons and Phoebe Philo was promoted to the brand’s top creative role days after Daniel Lee’s surprise departure.","2021-11-15 17:21:49","Fashion","https://www.businessoffashion.com/articles/luxury/kering-names-matthieu-blazy-as-bottega-venetas-new-creative-director","746ca28a87d25c938cd5071fa9f10bf0978be2b0978f613c29996a99cfade1ad","42e7e7c655949ac404020c72a958771c"
"Nykaa Profit Falls 96% Ahead of Blockbuster India IPO","The Business of Fashion","","2021-11-15 06:32:32","Fashion","https://www.businessoffashion.com/news/global-markets/nykaa-profit-falls-96-ahead-of-blockbuster-india-ipo","746ca28a87d25c938cd5071fa9f10bf0978be2b0978f613c29996a99cfade1ad","302b138fcd6d37a1dbc887b26914d9a8"
"China’s October Retail Sales Beat Expectations","The Business of Fashion","","2021-11-15 06:26:43","Fashion","https://www.businessoffashion.com/news/china/chinas-october-retail-sales-beat-expectations","746ca28a87d25c938cd5071fa9f10bf0978be2b0978f613c29996a99cfade1ad","f1a84ab8d054d24470283a5afe9c5879"
"The Best Jobs on BoF Careers","The Business of Fashion","BoF compiles the most exciting career opportunities now available on BoF Careers — including jobs from BoF, Tory Burch and Axel Arigato.","2021-11-15 05:30:00","Fashion","https://www.businessoffashion.com/articles/workplace-talent/the-best-jobs-on-bof-careers-november-2021-3","746ca28a87d25c938cd5071fa9f10bf0978be2b0978f613c29996a99cfade1ad","7df401e35ec99ae2e84e6e1d93dd082b"
