"Biden’s climate pledges undermined by holdout senator","Financial Times","Joe Manchin refuses to guarantee support for package that would spend $555bn on reducing US emissions","2021-11-01 21:02:17","Top News","https://www.ft.com/content/9fa5104b-b6db-4274-84ca-837b460969df","947c680712b6d16b3ac52b2023b0e59bdcde500f62bb0ae7bdb70a36f3a8e355","989ad0e58d8c30a70f7e6d56c6a9c75c"
"India steps forward with new climate pledge at COP26","Financial Times","World leaders warn of severe consequences of nations failing to strike deals to limit global warming","2021-11-01 19:59:15","Top News","https://www.ft.com/content/073563e1-157b-4023-ab37-7487bab83360","947c680712b6d16b3ac52b2023b0e59bdcde500f62bb0ae7bdb70a36f3a8e355","db22594f7f995a9bc58dcd5b3f61d053"
"Jes Staley’s Barclays legacy shattered by Epstein links","Financial Times","Banker’s bet on investment banking had finally started to bear fruit six years after he took charge","2021-11-01 19:16:43","Top News","https://www.ft.com/content/b96a25c2-a5e1-4d06-8278-ed1f703f2dfd","947c680712b6d16b3ac52b2023b0e59bdcde500f62bb0ae7bdb70a36f3a8e355","e0a623972f1f5b35474d3c9a84cafb73"
"Nicaragua’s government accused by Facebook of running social media troll farm","Financial Times","Company says it took down hundreds of accounts, pages and groups ahead of Sunday’s election","2021-11-01 18:30:23","Top News","https://www.ft.com/content/0998f9ac-7e37-430e-a411-2456b9124e7c","947c680712b6d16b3ac52b2023b0e59bdcde500f62bb0ae7bdb70a36f3a8e355","b20df687867c92acb56ac11b64ccee7e"
"Texas abortion law met with scepticism at US Supreme Court","Financial Times","Some conservative justices question novel way in which the restrictive statute is enforced","2021-11-01 17:56:16","Top News","https://www.ft.com/content/a3d9d723-97e1-45d2-abae-290b53381df7","947c680712b6d16b3ac52b2023b0e59bdcde500f62bb0ae7bdb70a36f3a8e355","f5e3312305c854cffb162a4cff8406fb"
"Thousands of NYC workers on leave as vaccine mandate kicks in","Financial Times","Mayor says services have not yet been disrupted despite push back against Covid-19 jab requirement","2021-11-01 17:32:33","Top News","https://www.ft.com/content/29d98c4d-2b73-41d3-90f6-b4a57809dd48","947c680712b6d16b3ac52b2023b0e59bdcde500f62bb0ae7bdb70a36f3a8e355","321da1c574a8c638e181921cf370b90a"
"New Barclays chief ‘Venkat’ emerges from Jes Staley’s shadow","Financial Times","Former risk officer turned trading boss tried to warn JPMorgan about huge losses from ‘London Whale’","2021-11-01 16:11:08","Top News","https://www.ft.com/content/6561960a-686e-4c30-8984-aadf6cb80548","947c680712b6d16b3ac52b2023b0e59bdcde500f62bb0ae7bdb70a36f3a8e355","ecc07e195e68c7d1a9d89d212a3c7394"
"Bond traders ramp up bets on ‘big shift’ in global monetary policy","Financial Times","Investors test central bankers’ insistence that elevated inflation will be fleeting","2021-11-01 05:00:07","Top News","https://www.ft.com/content/e8fd411b-6adc-4404-9d72-88fc7f9f475e","947c680712b6d16b3ac52b2023b0e59bdcde500f62bb0ae7bdb70a36f3a8e355","3e798351b9a16477554127589637687e"
"Dell spins off $64bn VMware as it battles debt hangover","Financial Times","Transaction completes eight-year saga that will unwind part of deal for server and storage group EMC","2021-11-01 05:00:07","Top News","https://www.ft.com/content/3ca808da-d0a7-4f42-98c4-b49745289616","947c680712b6d16b3ac52b2023b0e59bdcde500f62bb0ae7bdb70a36f3a8e355","17f050922176315077ea896ddaefede2"
"Climate change could bring near-unliveable conditions for 3bn people, say scientists","Financial Times","Each degree of warming above present levels corresponds to roughly 1bn people falling outside of ‘climate niche’","2021-11-01 05:00:07","Top News","https://www.ft.com/content/072b5c87-7330-459b-a947-be6767a1099d","947c680712b6d16b3ac52b2023b0e59bdcde500f62bb0ae7bdb70a36f3a8e355","3a7e321df2411092325d03fe638dcee5"
"US warehouses are running out of space as containers pile high","Financial Times","Rebound in consumer demand and record imports have prompted urgent search for more storage capacity","2021-11-01 04:00:07","Top News","https://www.ft.com/content/6e7b05c7-c5a8-4a3e-a772-9cb7a3de1ccf","947c680712b6d16b3ac52b2023b0e59bdcde500f62bb0ae7bdb70a36f3a8e355","6a9c7044dfd58a0c8b7e8df101cfed90"
"Maersk makes $1bn air freight push as supply chain crisis lifts profits","Financial Times","World’s largest container shipping group expands air freight offering","2021-11-02 07:39:34","Top News","https://www.ft.com/content/2ede4d14-d0b2-4d85-9daf-420d3f14f9f7","947c680712b6d16b3ac52b2023b0e59bdcde500f62bb0ae7bdb70a36f3a8e355","c3a7384f5efcb6de2eb001819f14ac4d"
"Australian central bank tightens monetary policy to deal with price surge","Financial Times","RBA abandons yield curve control scheme launched during pandemic and sets potential precedent for peers","2021-11-02 07:32:12","Top News","https://www.ft.com/content/bef0e0f5-6273-4ff0-aba6-d31bda59de21","947c680712b6d16b3ac52b2023b0e59bdcde500f62bb0ae7bdb70a36f3a8e355","dcf701e45c0007c2d2ef8f52f343aa85"
"China tells citizens to stockpile food as Covid controls are tightened","Financial Times","Communist party newspaper says no reason for alarm but admits families running low on supplies","2021-11-02 07:06:57","Top News","https://www.ft.com/content/f3f0414f-97a2-4c5a-8a7d-da9e0e91d892","947c680712b6d16b3ac52b2023b0e59bdcde500f62bb0ae7bdb70a36f3a8e355","798dbcce755023967867403d31c0930b"
"Cyril Ramaphosa: COP26 must ensure a just transition that leaves no one behind","Financial Times","South Africa has big plans for its journey to net zero but needs assistance from the nations responsible for climate change","2021-11-02 05:00:05","Top News","https://www.ft.com/content/311477e8-a57b-4602-b832-ba581b202114","947c680712b6d16b3ac52b2023b0e59bdcde500f62bb0ae7bdb70a36f3a8e355","ef3b4c5e15b8efbfcf9c1766376a48c4"
"South Korea plots its next entertainment blockbuster","Financial Times","Having given the world K-pop, Parasite and Squid Game, it now wants to create global platforms to distribute its content","2021-11-02 05:00:05","Top News","https://www.ft.com/content/7c3c5302-b230-4531-8fbb-237a32caec5a","947c680712b6d16b3ac52b2023b0e59bdcde500f62bb0ae7bdb70a36f3a8e355","65e37c27a8d1d3a2b7b0443ac648a64c"
"Citi prepares for Asia retail retreat as bids for consumer businesses roll in","Financial Times","Wall Street group to scale back presence in region and shed underperforming units","2021-11-02 00:01:04","Top News","https://www.ft.com/content/15635175-4060-402d-a845-e9d5d9886b13","947c680712b6d16b3ac52b2023b0e59bdcde500f62bb0ae7bdb70a36f3a8e355","eb52b8e50eaef136669d3a7d793bd825"
"Global leaders to sign pledge to halt deforestation","Financial Times","More than 100 countries promise to ban practice by 2030 but enforcement remains unclear","2021-11-01 22:30:04","Top News","https://www.ft.com/content/be933d15-8f28-4ef6-8e0c-4e7fedc37e7b","947c680712b6d16b3ac52b2023b0e59bdcde500f62bb0ae7bdb70a36f3a8e355","fdfb7694570c6f250beadfa406c9ec4c"
"Departing US business chiefs warn of expat exodus from China","Financial Times","Companies blame tough travel restrictions that have hit families for difficulties in retaining staff","2021-11-01 22:19:47","Top News","https://www.ft.com/content/53e5c1eb-83ed-468f-a055-dc08f7ede2ca","947c680712b6d16b3ac52b2023b0e59bdcde500f62bb0ae7bdb70a36f3a8e355","f9e3a229bacd1690ba258e388b60f629"
