"Supreme Court Hints That It May Allow Challenge to Texas Abortion Law","The New York Times","In two arguments on Monday, the justices considered challenges from abortion providers and the Biden administration to a law that bans abortions after about six weeks.","2021-11-01 21:52:39","Top News","https://www.nytimes.com/2021/11/01/us/politics/texas-abortion-law-supreme-court.html","9dfe110b0027d7bcbab5be6f42f4512172747474b293449ea25eb5239885c7a2","d1b7358954f23d35587e793111f1965c"
"Barclays C.E.O. to Step Down After Jeffrey Epstein Inquiry","The New York Times","British regulators investigated the ties between the bank executive and the disgraced financier. Here’s the latest business news.","2021-11-01 21:35:21","Top News","https://www.nytimes.com/live/2021/11/01/business/news-business-stock-market","9dfe110b0027d7bcbab5be6f42f4512172747474b293449ea25eb5239885c7a2","03fee40c1740755268da74ab6652d426"
"Judge Blocks Chicago’s Police Vaccine Mandate, For Now","The New York Times","The ruling was a blow to Mayor Lori Lightfoot and a victory for the city’s police union. Here’s the latest on the pandemic.","2021-11-01 21:35:21","Top News","https://www.nytimes.com/live/2021/11/01/world/covid-vaccine-boosters","9dfe110b0027d7bcbab5be6f42f4512172747474b293449ea25eb5239885c7a2","5b87bbe2d4d314d8bd21a213a3006dd9"
"Climate Change Is a ‘Challenge of Our Collective Lifetime,’ Biden Says","The New York Times","After his address, President Biden apologized for the U.S. withdrawal from the Paris Agreement under former President Trump. Here’s the latest from COP26.","2021-11-01 21:35:21","Top News","https://www.nytimes.com/live/2021/11/01/world/cop26-climate-change-summit","9dfe110b0027d7bcbab5be6f42f4512172747474b293449ea25eb5239885c7a2","a226c67320d52e377faf2a16554ace7c"
"Some Politicians We Don’t Love, Some Movies We Do","The New York Times","Election Day and movie night offer different pleasures.","2021-11-01 21:13:16","Top News","https://www.nytimes.com/2021/11/01/opinion/mcauliffe-youngkin-manchin-minneapolis.html","9dfe110b0027d7bcbab5be6f42f4512172747474b293449ea25eb5239885c7a2","702e3f295583d026cd0eec75ecc40f73"
"Even as Biden Pushes Clean Energy, He Seeks More Oil Production","The New York Times","President Biden acknowledged “it seems like an irony” that he is asking energy-rich nations to boost oil production as he implores the world to tackle climate change.","2021-11-01 20:53:21","Top News","https://www.nytimes.com/2021/11/01/climate/biden-oil-gas-cop26.html","9dfe110b0027d7bcbab5be6f42f4512172747474b293449ea25eb5239885c7a2","f96ab9e73b30f36c8f2196d048cf5657"
"Roe Is as Good as Gone. It’s Time for a New Strategy.","The New York Times","Abortion-right supporters need to stop banging our heads against the Supreme Court’s marble walls.","2021-11-01 19:50:53","Top News","https://www.nytimes.com/2021/11/01/opinion/roe-v-wade-abortion-supreme-court.html","9dfe110b0027d7bcbab5be6f42f4512172747474b293449ea25eb5239885c7a2","bc47d2b0e1cf716542e284c3c270a358"
"Manchin Refuses to Endorse Safety Net Bill, Dampening Hopes of a Quick Vote","The New York Times","The Democratic senator, a crucial swing vote, demanded more time to evaluate the economic and fiscal ramifications of the $1.85 trillion plan, frustrating plans for a House vote this week.","2021-11-01 19:30:46","Top News","https://www.nytimes.com/2021/11/01/us/politics/manchin-endorse-framework.html","9dfe110b0027d7bcbab5be6f42f4512172747474b293449ea25eb5239885c7a2","15e62495722e6772214675aa2431a2cd"
"Book Review: 'Both/And,' by Huma Abedin","The New York Times","“Both/And” may not be the most introspective memoir, but it gives readers a front-row view of heartache and humiliation.","2021-11-01 18:35:51","Top News","https://www.nytimes.com/2021/11/01/books/review/both-and-huma-abedin.html","9dfe110b0027d7bcbab5be6f42f4512172747474b293449ea25eb5239885c7a2","6e35eacb800ecc63cc7e37f2c92c12a3"
"The Stunning Grandeur of Soviet-Era Metros","The New York Times","Between 2014 and 2020, Frank Herfort visited more than 770 metro stations in 19 cities, creating a remarkable archive of architectural and artistic splendor.","2021-11-01 17:08:15","Top News","https://www.nytimes.com/2021/11/01/travel/soviet-era-metros.html","9dfe110b0027d7bcbab5be6f42f4512172747474b293449ea25eb5239885c7a2","baf81bb3a89eea072530ef38d6cfee0d"
