"How to Make Youtiao","Serious Eats","The fried breakfast pastry with a golden brown, well-puffed exterior and a light, airy interior.","2021-11-01 17:02:43","Food","https://www.seriouseats.com/youtiao-5207508?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+seriouseatsfeaturesvideos+%28Serious+Eats%29","a366ee3692701d106df81958e31219234ce6596ef9fce3d157557ec91d844d5c","9887c48e06dbc4b21d5a2aca5321c1aa"
"Yam Woon Sen (Thai Glass Noodle Salad With Shrimp)","Serious Eats","This spicy-sour noodle salad comes together in minutes.","2021-10-26 16:24:28","Food","https://www.seriouseats.com/yam-woon-sen-glass-noodle-salad-5206676?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+seriouseatsfeaturesvideos+%28Serious+Eats%29","a366ee3692701d106df81958e31219234ce6596ef9fce3d157557ec91d844d5c","afccf3dd4a891c494b55b7a06670dd6c"
"How to Make Jamaican Brown Stew Chicken","Serious Eats","Tender pieces of marinated and seared chicken in a rich and silky mahogany gravy.","2021-10-26 16:24:26","Food","https://www.seriouseats.com/brown-stew-chicken-5207031?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+seriouseatsfeaturesvideos+%28Serious+Eats%29","a366ee3692701d106df81958e31219234ce6596ef9fce3d157557ec91d844d5c","eda111b33a157ed08fb7ac7a90532d20"
"Lavash (Armenian Flatbread)","Serious Eats","An ancient, paper-thin flatbread that's surprisingly easy to make in a home oven.","2021-10-22 14:36:01","Food","https://www.seriouseats.com/lavash-armenian-flatbread-5206283?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+seriouseatsfeaturesvideos+%28Serious+Eats%29","a366ee3692701d106df81958e31219234ce6596ef9fce3d157557ec91d844d5c","207ec3e02a0ed5f542e77cd380c1cac4"
"Pesto Chicken Salad With Sun-Dried Tomatoes","Serious Eats","Tender poached chicken with a tangy pesto dressing.","2021-10-21 15:13:32","Food","https://www.seriouseats.com/pesto-chicken-salad-5206516?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+seriouseatsfeaturesvideos+%28Serious+Eats%29","a366ee3692701d106df81958e31219234ce6596ef9fce3d157557ec91d844d5c","6830295a068cf7d39352313e2acd4883"
"How to Make Pancit Bihon (Filipino Rice Noodles)","Serious Eats","Stir-fried rice vermicelli with carrots, snow peas, and shredded chicken.","2021-10-20 16:16:12","Food","https://www.seriouseats.com/pancit-bihon-5196328?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+seriouseatsfeaturesvideos+%28Serious+Eats%29","a366ee3692701d106df81958e31219234ce6596ef9fce3d157557ec91d844d5c","807a89c5a098c5cfd1a77ae5df585111"
"Laab Moo Isan (Thai Isan-Style Minced Pork Salad)","Serious Eats","A bright, spicy, and refreshing northeastern Thai meat salad.","2021-10-19 16:40:27","Food","https://www.seriouseats.com/laab-moo-isan-isan-style-minced-pork-salad-5205873?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+seriouseatsfeaturesvideos+%28Serious+Eats%29","a366ee3692701d106df81958e31219234ce6596ef9fce3d157557ec91d844d5c","a5be379453b8b2a61e24dfc027acbaf6"
"How to Make a Vegan Key Lime Pie","Serious Eats","A lime custard pie that hits all the same flavor notes as a Key lime pie, but entirely vegan.","2021-10-18 17:33:06","Food","https://www.seriouseats.com/vegan-key-lime-pie-5205925?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+seriouseatsfeaturesvideos+%28Serious+Eats%29","a366ee3692701d106df81958e31219234ce6596ef9fce3d157557ec91d844d5c","89b9ea8c70980ed316e4b6628675e42d"
"Beyond Phở: A Rice Paper Roll Platter Is Vietnam on a Tray","Serious Eats","The platter, which varies from region to region, is a quintessential Vietnamese specialty.","2021-10-15 15:43:06","Food","https://www.seriouseats.com/far-beyond-pho-a-rice-paper-roll-platter-is-vietnam-on-a-tray-5204968?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+seriouseatsfeaturesvideos+%28Serious+Eats%29","a366ee3692701d106df81958e31219234ce6596ef9fce3d157557ec91d844d5c","6db8bb50a7fb07fa460f89dc0cc94fca"
"Tam Khao Pod Kai Kem (Thai Corn Salad With Salted Duck Egg)","Serious Eats","A bright, savory, sour, and sweet salad with coconut-infused corn, crunchy long beans, and crumbled salted duck egg.","2021-10-13 15:41:53","Food","https://www.seriouseats.com/tam-khao-pod-kai-kem-corn-salad-with-salted-duck-egg-5205245?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+seriouseatsfeaturesvideos+%28Serious+Eats%29","a366ee3692701d106df81958e31219234ce6596ef9fce3d157557ec91d844d5c","b8c12507fcf0254e3cf3e508d80ffa18"
