"So You’re Thinking About Quitting Your Job…","Harvard Business Review","Questions that’ll help you decide whether to stay or go, and the emotions that influence the decision. ","2021-11-01 18:40:00","Business","https://hbr.org/podcast/2021/11/so-youre-thinking-about-quitting-your-job?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+harvardbusiness+%28HBR.org%29","a4c234d7e8bfeeaea696d1a2342dc8ae55c73eeff38456d33b6b0e317ff179d6","18815b239a15b3d1fac105d51b97ecd6"
"Microsoft’s Satya Nadella on Flexible Work, the Metaverse, and the Power of Empathy","Harvard Business Review","Episode 1 of HBR’s video series “The New World of Work”: an interview with the CEO of Microsoft. ","2021-11-01 16:54:16","Business","https://hbr.org/2021/10/microsofts-satya-nadella-on-flexible-work-the-metaverse-and-the-power-of-empathy?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+harvardbusiness+%28HBR.org%29","a4c234d7e8bfeeaea696d1a2342dc8ae55c73eeff38456d33b6b0e317ff179d6","3e16450d0c41117b8f3ffe2c285b5c76"
"Navigating Postpartum Depression at Work","Harvard Business Review","There’s no one-size-fits-all approach, but these seven strategies can help. ","2021-11-01 15:15:48","Business","https://hbr.org/2021/11/navigating-postpartum-depression-at-work?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+harvardbusiness+%28HBR.org%29","a4c234d7e8bfeeaea696d1a2342dc8ae55c73eeff38456d33b6b0e317ff179d6","3d0c7d8ea689e7ddde3c5648a6ad81f9"
"Making Silos Work for Your Organization","Harvard Business Review","The answer isn’t to break them down. It’s to build in effective checks and balances. ","2021-11-01 14:13:08","Business","https://hbr.org/2021/11/making-silos-work-for-your-organization?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+harvardbusiness+%28HBR.org%29","a4c234d7e8bfeeaea696d1a2342dc8ae55c73eeff38456d33b6b0e317ff179d6","cb4dfc09fc5807acb39a8e5b7ed74c7d"
"How Sharing Our Stories Builds Inclusion","Harvard Business Review","Numbers don’t inspire changes in behavior — people and stories do. ","2021-11-01 14:00:00","Business","https://hbr.org/2021/11/how-sharing-our-stories-builds-inclusion?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+harvardbusiness+%28HBR.org%29","a4c234d7e8bfeeaea696d1a2342dc8ae55c73eeff38456d33b6b0e317ff179d6","8513085182e29202d2eaf8d15ea1d9c5"
"Even Public Figures Have Social Anxiety","Harvard Business Review","How New York Times bestselling author Lindsey Pollak maintains a public speaking career while dealing with anxiety. ","2021-11-01 13:05:00","Business","https://hbr.org/podcast/2021/11/even-public-figures-have-social-anxiety?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+harvardbusiness+%28HBR.org%29","a4c234d7e8bfeeaea696d1a2342dc8ae55c73eeff38456d33b6b0e317ff179d6","b086061fbeac4d38231889c93aab02be"
"How to Glean Insights from Data Sets Across Clouds - SPONSOR CONTENT FROM LIVERAMP","Harvard Business Review","Sponsor content from LiveRamp. ","2021-10-29 20:15:00","Business","https://hbr.org/sponsored/2021/10/how-to-glean-insights-from-data-sets-across-clouds?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+harvardbusiness+%28HBR.org%29","a4c234d7e8bfeeaea696d1a2342dc8ae55c73eeff38456d33b6b0e317ff179d6","7f4dbb9ce47f5b1e19858bda1b314833"
"Decarbonization by the Numbers (with Michele Della Vigna)","Harvard Business Review","Bringing the global economy to “net zero” won’t come cheap. Goldman’s Michele Della Vigna (Carbonomics) explores the true costs of decarbonization. ","2021-10-29 13:40:00","Business","https://hbr.org/podcast/2021/10/decarbonization-by-the-numbers-with-michele-della-vigna?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+harvardbusiness+%28HBR.org%29","a4c234d7e8bfeeaea696d1a2342dc8ae55c73eeff38456d33b6b0e317ff179d6","7881b36c63fc90c3e7b4d762bc8f60c5"
"Getting Back to the Basics of Human Connection","Harvard Business Review","The return to in-person work can be overwhelming. These four strategies can help. ","2021-10-29 13:00:00","Business","https://hbr.org/2021/10/getting-back-to-the-basics-of-human-connection?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+harvardbusiness+%28HBR.org%29","a4c234d7e8bfeeaea696d1a2342dc8ae55c73eeff38456d33b6b0e317ff179d6","0f6897362f71f95efc0e8c200b3f7e36"
"Forget Flexibility. Your Employees Want Autonomy.","Harvard Business Review","People want to make their own decisions about when and where they work, according to survey data. ","2021-10-29 12:05:58","Business","https://hbr.org/2021/10/forget-flexibility-your-employees-want-autonomy?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+harvardbusiness+%28HBR.org%29","a4c234d7e8bfeeaea696d1a2342dc8ae55c73eeff38456d33b6b0e317ff179d6","3ae279ae8eba13df02e563d66c9a0557"
"When Pitching an Idea, Should You Focus on “Why” or “How”?","Harvard Business Review","It depends on whether you’re talking to experts or novices. ","2021-10-28 14:00:00","Business","https://hbr.org/2021/10/when-pitching-an-idea-should-you-focus-on-why-or-how?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+harvardbusiness+%28HBR.org%29","a4c234d7e8bfeeaea696d1a2342dc8ae55c73eeff38456d33b6b0e317ff179d6","3ecea87c15e410f57d28a8a45b00cf5d"
"Putting Common Career Advice to the Test","Harvard Business Review","New research sheds light on what’s actually useful — and what isn’t. ","2021-10-28 13:41:22","Business","https://hbr.org/2021/10/putting-common-career-advice-to-the-test?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+harvardbusiness+%28HBR.org%29","a4c234d7e8bfeeaea696d1a2342dc8ae55c73eeff38456d33b6b0e317ff179d6","dce8a9f95f5381dd7948b6facb424105"
"How to Make Your Loyalty Program Pay Off","Harvard Business Review","A study of 2 million transactions at one retailer shows how companies often chase the wrong customers. ","2021-10-28 13:00:00","Business","https://hbr.org/2021/10/how-to-make-your-loyalty-program-pay-off?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+harvardbusiness+%28HBR.org%29","a4c234d7e8bfeeaea696d1a2342dc8ae55c73eeff38456d33b6b0e317ff179d6","a308f7ca0e0e42cde0b878b6971f21c5"
"Creating a Meaningful Corporate Purpose","Harvard Business Review","Five factors to consider. ","2021-10-28 12:05:25","Business","https://hbr.org/2021/10/creating-a-meaningful-corporate-purpose?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+harvardbusiness+%28HBR.org%29","a4c234d7e8bfeeaea696d1a2342dc8ae55c73eeff38456d33b6b0e317ff179d6","627bedf1e07629eedf6fb182f4ad79bd"
"Don’t Let Organizational Silos Creep Into Hybrid Work - SPONSOR CONTENT FROM DAGGERWING GROUP","Harvard Business Review","Sponsor content from Daggerwing Group. ","2021-10-27 19:25:16","Business","https://hbr.org/sponsored/2021/10/dont-let-organizational-silos-creep-into-hybrid-work?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+harvardbusiness+%28HBR.org%29","a4c234d7e8bfeeaea696d1a2342dc8ae55c73eeff38456d33b6b0e317ff179d6","ecc3e92838be8307f6de387bbc7925ef"
"Find Focus in a Chaotic World","Harvard Business Review","The meditation method that generals and CEOs use to harness their attention ","2021-10-27 15:14:30","Business","https://hbr.org/podcast/2021/10/find-focus-in-a-chaotic-world?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+harvardbusiness+%28HBR.org%29","a4c234d7e8bfeeaea696d1a2342dc8ae55c73eeff38456d33b6b0e317ff179d6","f41ca9812a1c1f20c16bd3b3ac2a2571"
"How Do I Manage Other Managers?","Harvard Business Review","A leader learns how to move from managing individual contributors to managing other managers. ","2021-10-27 13:05:00","Business","https://hbr.org/podcast/2021/10/how-do-i-manage-other-managers?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+harvardbusiness+%28HBR.org%29","a4c234d7e8bfeeaea696d1a2342dc8ae55c73eeff38456d33b6b0e317ff179d6","f0b5c49519354ad2109054dc8a8e40a6"
"The Toxic Effects of Branding Your Workplace a “Family”","Harvard Business Review","There are other ways to promote a healthy, supportive culture. ","2021-10-27 13:00:00","Business","https://hbr.org/2021/10/the-toxic-effects-of-branding-your-workplace-a-family?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+harvardbusiness+%28HBR.org%29","a4c234d7e8bfeeaea696d1a2342dc8ae55c73eeff38456d33b6b0e317ff179d6","8e4c6e0fccf18cbcd4febfd039fa9fe3"
"How Much Time Can I Take Off Between Jobs?","Harvard Business Review","Six factors to consider when negotiating your start date. ","2021-10-27 12:05:16","Business","https://hbr.org/2021/10/how-much-time-can-i-take-off-between-jobs?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+harvardbusiness+%28HBR.org%29","a4c234d7e8bfeeaea696d1a2342dc8ae55c73eeff38456d33b6b0e317ff179d6","b76b9616447749f2fbe61d156e505bb8"
"What to Do About “Back to the Office” Jitters","Harvard Business Review","Advice for managers and employees. ","2021-10-26 14:00:00","Business","https://hbr.org/2021/10/what-to-do-about-back-to-the-office-jitters?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+harvardbusiness+%28HBR.org%29","a4c234d7e8bfeeaea696d1a2342dc8ae55c73eeff38456d33b6b0e317ff179d6","84c69fef18c63118dcae9040e4519bb1"
"Research: How Management Practices Impact M&A Outcomes","Harvard Business Review","A recent analysis of 35,000 manufacturing plants found that those with more-structured management practices were more likely to acquire ones with less-structured practices. ","2021-11-02 13:00:00","Business","https://hbr.org/2021/11/research-how-management-practices-impact-ma-outcomes?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+harvardbusiness+%28HBR.org%29","a4c234d7e8bfeeaea696d1a2342dc8ae55c73eeff38456d33b6b0e317ff179d6","c7ac8f20d620d6050666794475fd2e01"
"Facebook’s Rebrand Has a Fundamental Problem","Harvard Business Review","The vision behind Meta is still just that: a vision. ","2021-11-02 12:05:00","Business","https://hbr.org/2021/11/facebooks-rebrand-has-a-fundamental-problem?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+harvardbusiness+%28HBR.org%29","a4c234d7e8bfeeaea696d1a2342dc8ae55c73eeff38456d33b6b0e317ff179d6","e257862a63613789b9abe690be247352"
"Anti-Bias Policies That Really Work in Customer Service","Harvard Business Review","A conversation with researchers Alexandra Feldberg and Tami Kim on rooting out bias in customer interactions. ","2021-11-02 13:20:00","Business","https://hbr.org/podcast/2021/11/anti-bias-policies-that-really-work-in-customer-service?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+harvardbusiness+%28HBR.org%29","a4c234d7e8bfeeaea696d1a2342dc8ae55c73eeff38456d33b6b0e317ff179d6","15cba639467bc3421cd54719c1962209"
