"3 rules to help you build a successful business | Julissa Prado","TED Talks","Have an idea you're yearning to turn into a business? Julissa Prado, founder and CEO of Rizos Curls, explains how she was inspired by the Latino and immigrant communities she grew up in -- and shares 3 principles that guide her in her work.","2021-11-01 14:45:47","Culture","https://www.ted.com/talks/julissa_prado_3_rules_to_help_you_build_a_successful_business?rss=172BB350-0205&utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+TEDTalks_video+%28TEDTalks+Main+%28SD%29+-+Site%29","ac800b9081b9bf1a188cd0de633201ed6c3f24db07be609e425eeb3ede7782d5","ee10c547f882f0232179a51f4a194ba9"
"What is COP26? | Countdown","TED Talks","What is COP26? Here's what you need to know about the crucial UN climate conference set to take place in Glasgow, Scotland from October 31-November 12, 2021. Featuring climate advocate Al Gore; Paris Climate Agreement architect Christiana Figueres; minister and activist Rev. Lennox Yearwood Jr.; UN High Level Climate Action Champion for COP25 Gonzalo Muñoz; and climate activist Xiye Bastida.","2021-10-30 18:18:55","Culture","https://www.ted.com/talks/countdown_what_is_cop26?rss=172BB350-0205&utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+TEDTalks_video+%28TEDTalks+Main+%28SD%29+-+Site%29","ac800b9081b9bf1a188cd0de633201ed6c3f24db07be609e425eeb3ede7782d5","3d0dd750f06530e67846483ea8c48be7"
"The 55 gigaton challenge | Countdown","TED Talks","This is the climate challenge we face: we need to go from putting 55 billion metric tons of greenhouse gases into the air each year to zero. And it all needs to happen by 2050 at the latest. How can we get there? This quick animated video explains. (Written by David Biello and voiced by Elise Hu)","2021-10-30 16:27:02","Culture","https://www.ted.com/talks/countdown_the_55_gigaton_challenge?rss=172BB350-0205&utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+TEDTalks_video+%28TEDTalks+Main+%28SD%29+-+Site%29","ac800b9081b9bf1a188cd0de633201ed6c3f24db07be609e425eeb3ede7782d5","89120b8ece151bc7541d1bf7f3969101"
"A new perspective on the journey to net-zero | Amina J. Mohammed","TED Talks","Climate action can be a vehicle to deliver dignity, opportunity and equality for all. UN Deputy Secretary-General Amina J. Mohammed invites us to reimagine what the journey to net-zero could look like if we invest in people's climate efforts while prioritizing the 17 Sustainable Development Goals -- a blueprint of interlinked global goals to protect humanity and our warming planet. It's time to make some serious noise to transform our world, she says.","2021-10-29 14:47:40","Culture","https://www.ted.com/talks/amina_j_mohammed_a_new_perspective_on_the_journey_to_net_zero?rss=172BB350-0205&utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+TEDTalks_video+%28TEDTalks+Main+%28SD%29+-+Site%29","ac800b9081b9bf1a188cd0de633201ed6c3f24db07be609e425eeb3ede7782d5","20c8719908356a97b8d77248fb5e9c46"
"The fastest way to slow climate change now | Ilissa Ocko","TED Talks","Cutting methane is the single fastest, most effective opportunity to reduce climate change risks in the near term, says atmospheric scientist Ilissa Ocko. That's because, unlike carbon dioxide, methane's warming power doesn't come from a gradual buildup over time but is almost entirely from recent emissions. Ocko identifies three main sources of methane pollution which, if addressed, could dramatically slow down the rate of global warming within years -- not decades. This is the methane momen","2021-10-28 19:54:34","Culture","https://www.ted.com/talks/ilissa_ocko_the_fastest_way_to_slow_climate_change_now?rss=172BB350-0205&utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+TEDTalks_video+%28TEDTalks+Main+%28SD%29+-+Site%29","ac800b9081b9bf1a188cd0de633201ed6c3f24db07be609e425eeb3ede7782d5","31d58dcbdaa28ea2eaa52f050b2454f8"
"AI isn't as smart as you think -- but it could be | Jeff Dean","TED Talks","What is AI, really? Jeff Dean, the head of Google's AI efforts, explains the underlying technology that enables artificial intelligence to do all sorts of things, from understanding language to diagnosing disease -- and presents a roadmap for building better, more responsible systems that have a deeper understanding of the world. (Followed by a Q&A with head of TED Chris Anderson)","2021-10-28 19:51:35","Culture","https://www.ted.com/talks/jeff_dean_ai_isn_t_as_smart_as_you_think_but_it_could_be?rss=172BB350-0205&utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+TEDTalks_video+%28TEDTalks+Main+%28SD%29+-+Site%29","ac800b9081b9bf1a188cd0de633201ed6c3f24db07be609e425eeb3ede7782d5","558574aa8281e713a37dea6548cc8117"
"The tech-forward rejuvenation of underdog cities | Irma L. Olguin Jr.","TED Talks","Computer skills aren't what's stopping people from breaking into the tech industry, says social entrepreneur Irma L. Olguin Jr. More often, the biggest hurdles are things like access to childcare, transportation and financial stability. In this visionary talk, Olguin Jr. introduces the work she's done to uplift and empower people in her community in Fresno, California -- and shows how it can be a model to elevate underdog communities across the world.","2021-10-28 14:46:45","Culture","https://www.ted.com/talks/irma_l_olguin_jr_the_tech_forward_rejuvenation_of_underdog_cities?rss=172BB350-0205&utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+TEDTalks_video+%28TEDTalks+Main+%28SD%29+-+Site%29","ac800b9081b9bf1a188cd0de633201ed6c3f24db07be609e425eeb3ede7782d5","d5dcab57b5d2f657d4361ca6ae4e9083"
"Stuck in the gig economy? Try platform co-ops instead | Trebor Scholz","TED Talks","Co-ops date back almost 200 years, run by groups of people that work together to own and operate a company. What does it look like when this tried-and-true business model merges with the digital economy? Trebor Scholz introduces the platform cooperative, a new way to create democratic companies of empowered workers -- and develop a better, fairer alternative to the gig economy.","2021-10-27 14:50:54","Culture","https://www.ted.com/talks/trebor_scholz_stuck_in_the_gig_economy_try_platform_co_ops_instead?rss=172BB350-0205&utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+TEDTalks_video+%28TEDTalks+Main+%28SD%29+-+Site%29","ac800b9081b9bf1a188cd0de633201ed6c3f24db07be609e425eeb3ede7782d5","fd01e9ad9e3f30bb2838fee21fb26136"
"Can China achieve its ambitious climate pledges? | Hongqiao Liu","TED Talks","In 2020, China's President Xi Jinping pledged that China would both peak its emissions by 2030 and achieve net-zero emissions by 2060 -- a change that will require action at an unheard-of scale and speed. Can the country actually achieve this ambitious vision? In this forward-looking talk, environmental journalist and analyst Hongqiao Liu explores what the world's largest carbon emitter (and second-largest economy) will need to do to get there.","2021-10-26 14:27:35","Culture","https://www.ted.com/talks/hongqiao_liu_can_china_achieve_its_ambitious_climate_pledges?rss=172BB350-0205&utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+TEDTalks_video+%28TEDTalks+Main+%28SD%29+-+Site%29","ac800b9081b9bf1a188cd0de633201ed6c3f24db07be609e425eeb3ede7782d5","c37abeed90436bed75ee36f615560118"
"3 tips for leaders to get the future of work right  | Debbie Lovich","TED Talks","Work that's dictated by a fixed schedule, place and job description doesn't make sense anymore, says leadership expert Debbie Lovich. In light of the cultural shift towards remote work sparked by the pandemic, Lovich gives three essential tips to leaders so employees can keep their autonomy (while remaining productive), companies can let go of rigid bureaucracy and we can all reshape work to better fit our lives.","2021-10-22 14:47:48","Culture","https://www.ted.com/talks/debbie_lovich_3_tips_for_leaders_to_get_the_future_of_work_right?rss=172BB350-0205&utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+TEDTalks_video+%28TEDTalks+Main+%28SD%29+-+Site%29","ac800b9081b9bf1a188cd0de633201ed6c3f24db07be609e425eeb3ede7782d5","2784a0245ee4cb119a58016ffb483ade"
"A close-to-home solution for accessible childcare | Chris Bennett","TED Talks","Childcare needs a transformation -- but rather than investing billions in new buildings and schools, what if we could unlock the potential of people already nearby? Entrepreneur Chris Bennett offers an innovative way to tackle the shortage of childcare worldwide and connect families to safe, affordable and high-quality options in their own communities.","2021-10-21 14:39:01","Culture","https://www.ted.com/talks/chris_bennett_a_close_to_home_solution_for_accessible_childcare?rss=172BB350-0205&utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+TEDTalks_video+%28TEDTalks+Main+%28SD%29+-+Site%29","ac800b9081b9bf1a188cd0de633201ed6c3f24db07be609e425eeb3ede7782d5","c9ccbe591727626c7173355db10e5945"
