"Pa. GOP Senate candidate's wife testifies that he hit their children, tried to choke her","The Hill","Pennsylvania Republican Senate candidate Sean Parnell's estranged wife accused him in court on Monday of physical and verbal abuse.During a child custody hearing, Laurie Parnell alleged that her husband hit their c...","2021-11-01 21:26:47","Top News","https://thehill.com/homenews/campaign/579491-pa-gop-senate-candidates-wife-testifies-that-he-hit-their-children-tried-to","b6edbaa680edec6977bb6dd43d35eeb9393938e7024a806916e3833ed88fdafa","6b6f8cf3bcbec4274e674538eaa11a6a"
"Pro-Trump actor Kristy Swanson hospitalized with COVID-19","The Hill","Kristy Swanson, star of the 1992 movie Buffy the Vampire Slayer and a vocal supporter of former President Trump, says she's been hospitalized after testing positive for COVID-19.The 51-year-old performer told her...","2021-11-01 20:21:56","Top News","https://thehill.com/blogs/in-the-know/in-the-know/579469-pro-trump-actor-kristy-swanson-hospitalized-with-covid-19","b6edbaa680edec6977bb6dd43d35eeb9393938e7024a806916e3833ed88fdafa","3df19fd3b701c014c1bcbbd1bd57f688"
"Manchin demands infrastructure vote; holds off support on spending bill","The Hill","Sen. Joe Manchin (D-W.Va.) on Monday demanded that the House immediately take up the Senate-passed bipartisan infrastructure bill while making it clear he's not yet ready to support a separate social and climate spending...","2021-11-01 18:26:32","Top News","https://thehill.com/homenews/senate/579443-manchin-demands-infrastructure-vote-holds-off-support-on-spending-bill","b6edbaa680edec6977bb6dd43d35eeb9393938e7024a806916e3833ed88fdafa","29539ee6a1f44b3c7fec3a796028d476"
"Supreme Court signals skepticism over Texas's six-week abortion ban","The Hill","The Supreme Court sounded a note of skepticism Monday over Texas's controversial six-week abortion ban, appearing ready to allow abortion providers to challenge the law in federal court.The case did not deal direct...","2021-11-01 16:59:10","Top News","https://thehill.com/regulation/court-battles/579367-supreme-court-hears-clash-over-texass-six-week-abortion-ban","b6edbaa680edec6977bb6dd43d35eeb9393938e7024a806916e3833ed88fdafa","d605597e45f76e57f81b4ce878bedaa1"
"NASA chief Bill Nelson latest official to suggest UFOs have otherworldly origins","The Hill","Asked to speculate about the nature of recent UFO sightings , Bill Nelson responded, Who am I to say that planet earth is the only location of a life form that is civilized and organized like ours?","2021-11-01 14:30:08","Top News","https://thehill.com/opinion/international/579303-nasa-chief-bill-nelson-latest-official-to-suggest-ufos-have","b6edbaa680edec6977bb6dd43d35eeb9393938e7024a806916e3833ed88fdafa","a1fe51407da42a3d425bfa9d30f1a9ae"
"WaPost won't publish full Trump response due to 'unrelated, inflammatory claims'","The Hill","The Washington Post said it will not publish former President Trump's response to a new investigative series it published this week about the Jan. 6 attack on the U.S. Capitol because the statement contained irrelevant an...","2021-11-01 12:36:06","Top News","https://thehill.com/homenews/media/579355-washington-post-decides-not-to-publish-full-trump-response-to-series-due-to","b6edbaa680edec6977bb6dd43d35eeb9393938e7024a806916e3833ed88fdafa","d3c470baf8e783b6129d01fe425d880e"
"Juan Williams: 'Parents' rights' is code for white race politics","The Hill","OPINION: The tactics being used by the GOP in Virginia have an odious history.","2021-11-01 10:00:20","Top News","https://thehill.com/opinion/campaign/579338-juan-williams-parents-rights-is-code-for-white-race-politics","b6edbaa680edec6977bb6dd43d35eeb9393938e7024a806916e3833ed88fdafa","0cee4e4704eb7a605bf6060fdf7c7c4d"
"Democrats face monster December collision","The Hill","Democrats are setting up a massive December cliff as they punt several key deadlines to the end of the year.The party needs to fund the government to prevent a shutdown by Dec. 3, and it also faces another debt cei...","2021-11-01 10:00:17","Top News","https://thehill.com/homenews/senate/579209-democrats-face-monster-december-collision","b6edbaa680edec6977bb6dd43d35eeb9393938e7024a806916e3833ed88fdafa","215f406cc72a2ecdf7b0d57b9366d3a6"
"Stunning survey gives grim view of flourishing anti-democratic opinions","The Hill","Those who buy into former President Trump's lies over the 2020 election and those who watch the far-right channels that amplify his rhetoric are increasingly embracing anti-democratic opinions and even contemplating polit...","2021-11-01 10:00:07","Top News","https://thehill.com/homenews/state-watch/579160-stunning-survey-gives-grim-view-of-flourishing-anti-democratic-opinions","b6edbaa680edec6977bb6dd43d35eeb9393938e7024a806916e3833ed88fdafa","893860c826addb9cbdc0dc8071097fc8"
"Texas police refused requests to escort Biden bus surrounded by Trump supporters: report","The Hill","Transcribed 911 calls reveal that San Marcos police officials refused multiple requests for assistance from a Biden campaign bus that was being harassed on the road by a so-called Trump train, even as other jurisdictions...","2021-10-31 19:55:51","Top News","https://thehill.com/homenews/state-watch/579316-texas-police-refused-multiple-requests-to-escort-biden-bus-surrounded-by","b6edbaa680edec6977bb6dd43d35eeb9393938e7024a806916e3833ed88fdafa","dd2cd24b7aca7dace772824a450aac81"
