"How to Choose the Right Weight-Loss Surgery","WebMD Health","In a situation where you may have tried all other alternatives to losing weight, surgery might be your best bet. But which is it going to be?","2021-11-01 20:36:05","Health","https://www.webmd.com/diet/obesity/news/20211101/choosing-weight-loss-surgery?src=RSS_PUBLIC","f533b1e7e59c85dd912bbba8560f34b0e186dd102157b4ed4b84e823c268f71f","d24690cae704a3d834c79a934dda7082"
"Moon Phases May Affect Sleep Differently in Men and Women","WebMD Health","Nightly shifts in the moon’s brightness and placement in the sky may play a modest role in how well we sleep -- or not.","2021-11-01 19:50:09","Health","https://www.webmd.com/sleep-disorders/news/20211101/moon-affects-sleep-differently?src=RSS_PUBLIC","f533b1e7e59c85dd912bbba8560f34b0e186dd102157b4ed4b84e823c268f71f","7c135572b9fe3e3fab416f73681ad66c"
"End-of-Life Care Specialists Get Creative During COVID-19","WebMD Health","Experts report on the success of their program at UCLA to honor and remember people who died in the hospital from COVID-19.","2021-11-01 18:52:31","Health","https://www.webmd.com/lung/news/20211101/end-of-life-care-specialists-covid?src=RSS_PUBLIC","f533b1e7e59c85dd912bbba8560f34b0e186dd102157b4ed4b84e823c268f71f","5e1c037015c4f3ac45f015255688e7c2"
"Liar, Liar:  Chronic Fibbers Are Rare, Study Reveals","WebMD Health","Amid the flurry of fake news and misinformation, it turns out there are very few chronic liars. See more from a new study.","2021-11-01 18:38:51","Health","https://www.webmd.com/mental-health/news/20211101/liar-liar--chronic-fibbers-are-rare-study-reveals?src=RSS_PUBLIC","f533b1e7e59c85dd912bbba8560f34b0e186dd102157b4ed4b84e823c268f71f","3c739ee4d1ec17ca78da83f90d69cf7f"
"A Faster, Cheaper Test to Gauge the Risk of Premature Delivery?","WebMD Health","Researchers have developed a two-minute test to accurately detect vaginal bacteria associated with preterm birth.","2021-11-01 18:29:54","Health","https://www.webmd.com/baby/news/20211101/a-faster-cheaper-test-to-gauge-the-risk-of-premature-delivery?src=RSS_PUBLIC","f533b1e7e59c85dd912bbba8560f34b0e186dd102157b4ed4b84e823c268f71f","28f66126284a8be1d9d14c4b5a3d9ceb"
"COVID Death Toll Tops 5 Million Worldwide","WebMD Health","Johns Hopkins University data shows the worldwide death toll from COVID-19 surpassed 5 million, and 740,000 lives lost in the United States is the most of any nation.","2021-11-01 18:08:58","Health","https://www.webmd.com/lung/news/20211101/covid-death-toll-tops-5-million-worldwide?src=RSS_PUBLIC","f533b1e7e59c85dd912bbba8560f34b0e186dd102157b4ed4b84e823c268f71f","ea951d957a95a1127dd7a83d49e70c0b"
"FDA Delays Decision on Moderna COVID Vaccine for Younger Teens","WebMD Health","The FDA has delayed this decision for 12- to 17-year-olds until at least January.","2021-11-01 17:59:38","Health","https://www.webmd.com/vaccines/covid-19-vaccine/news/20211101/fda-delays-decision-on-moderna-covid-vaccine-for-younger-teens?src=RSS_PUBLIC","f533b1e7e59c85dd912bbba8560f34b0e186dd102157b4ed4b84e823c268f71f","7d21665ad24707910fb955a2cc73b9b5"
"Deadline Looms for Unvaccinated Air Force Personnel","WebMD Health","Air Force personnel face disciplinary action if they don't get vaccinated, while a judge in Washington, D.C., blocked the White House from enforcing some mandates and a judge in New York upheld the city's vaccine requirements.","2021-10-29 20:22:18","Health","https://www.webmd.com/vaccines/covid-19-vaccine/news/20211029/vaccine-mandates-face-challenges?src=RSS_PUBLIC","f533b1e7e59c85dd912bbba8560f34b0e186dd102157b4ed4b84e823c268f71f","3d9f654851aa31e0ed785afd33a5986f"
"Trick, Treat, and Travel Tips for Safe Holidays","WebMD Health","From trick-or-treating to holiday travel and gathering with friends and family, there are suggestions to make the holidays as safe as possible.","2021-10-29 20:02:56","Health","https://www.webmd.com/lung/news/20211029/trick-treat-travel-tips?src=RSS_PUBLIC","f533b1e7e59c85dd912bbba8560f34b0e186dd102157b4ed4b84e823c268f71f","89e3fe15999a66ccf63c005d05325691"
"Death Holidays and Why We Celebrate Them","WebMD Health","If grief is love with nowhere to go, then calendar dates facing mortality alongside friends and family might explain why death holidays are so popular in regions around the world.","2021-10-29 19:22:57","Health","https://www.webmd.com/balance/news/20211029/death-holidays-what-to-know?src=RSS_PUBLIC","f533b1e7e59c85dd912bbba8560f34b0e186dd102157b4ed4b84e823c268f71f","e1fae6a1d3a9b76055e18c13b5690126"
"Why Vultures Lurk Along Dark Roads Near You","WebMD Health","Streets that cut through most American suburbs and towns are ideal habitats for vultures to roost for the night, a new study suggests.","2021-10-29 16:57:03","Health","https://www.webmd.com/a-to-z-guides/news/20211029/why-vultures-lurk-near-you?src=RSS_PUBLIC","f533b1e7e59c85dd912bbba8560f34b0e186dd102157b4ed4b84e823c268f71f","cac642833b08997c6807127233ce0adb"
"How Two People With HIV Suppressed Virus After Stopping Treatment","WebMD Health","Findings could help people with HIV keep the virus in remission without taking medications that can have long-term side effects,","2021-10-29 16:49:08","Health","https://www.webmd.com/hiv-aids/news/20211029/how-two-people-with-hiv-suppressed-virus-after-stopping-treatment?src=RSS_PUBLIC","f533b1e7e59c85dd912bbba8560f34b0e186dd102157b4ed4b84e823c268f71f","33278127c67496222a92b3162e079b3f"
