"Top climate scientists are sceptical that nations will rein in global warming","Nature","Nature, Published online: 01 November 2021; doi:10.1038/d41586-021-02990-wA Nature survey reveals that many authors of the latest IPCC climate-science report are anxious about the future and expect to see catastrophic changes in their lifetimes.","2021-11-01 00:00:00","Science","https://www.nature.com/articles/d41586-021-02990-w","ff3fcddf7772101e9a52107b5634f5d80b4d54ac2ddcc5e1af09f50024bb09ed","2294c53e6976e8018dbf50e7f455b1fc"
"How climate coverage can drive change","Nature","Nature, Published online: 01 November 2021; doi:10.1038/d41586-021-03002-7Three case studies show how Nature articles influence climate policy.","2021-11-01 00:00:00","Science","https://www.nature.com/articles/d41586-021-03002-7","ff3fcddf7772101e9a52107b5634f5d80b4d54ac2ddcc5e1af09f50024bb09ed","fbc79410551390411a8e49842c57e3a0"
"The vaccine shots that rang around the world","Nature","Nature, Published online: 01 November 2021; doi:10.1038/d41586-021-02996-4Two books follow key runners in the historic race to immunize the world against COVID.","2021-11-01 00:00:00","Science","https://www.nature.com/articles/d41586-021-02996-4","ff3fcddf7772101e9a52107b5634f5d80b4d54ac2ddcc5e1af09f50024bb09ed","5cb30b36f61fca405a15ac4a11e439a2"
"Scientists say Australian plan to cull up to 10,000 wild horses doesn’t go far enough","Nature","Nature, Published online: 01 November 2021; doi:10.1038/d41586-021-02977-7A fast-growing population of feral horses in an alpine national park needs to be substantially reduced in number, researchers argue.","2021-11-01 00:00:00","Science","https://www.nature.com/articles/d41586-021-02977-7","ff3fcddf7772101e9a52107b5634f5d80b4d54ac2ddcc5e1af09f50024bb09ed","4ffa16799dbf316b7ca44814c9d57602"
"A reconstruction of early cryptic COVID spread","Nature","Nature, Published online: 01 November 2021; doi:10.1038/d41586-021-02989-3To respond better to future pandemics, we must understand how the SARS-CoV-2 virus dispersed so rapidly. A model of COVID-19 spread sheds light on cryptic transmission, undetected by surveillance efforts, in early 2020.","2021-11-01 00:00:00","Science","https://www.nature.com/articles/d41586-021-02989-3","ff3fcddf7772101e9a52107b5634f5d80b4d54ac2ddcc5e1af09f50024bb09ed","be4e758965f9abf5ece5e40679889fc0"
"Refining the toolkit for sugar analysis","Nature","Nature, Published online: 01 November 2021; doi:10.1038/d41586-021-03000-9Antibodies and other reagents for glycans have lagged behind those for proteins and nucleic acids, but the field is catching up.","2021-11-01 00:00:00","Science","https://www.nature.com/articles/d41586-021-03000-9","ff3fcddf7772101e9a52107b5634f5d80b4d54ac2ddcc5e1af09f50024bb09ed","56f6005019f3f992a2a46312e7feb915"
"Virus detective: searching for Zika, dengue and SARS-CoV-2","Nature","Nature, Published online: 01 November 2021; doi:10.1038/d41586-021-03001-8Danielle Bruna Leal de Oliveira tracks pathogens for Brazil’s public-health system.","2021-11-01 00:00:00","Science","https://www.nature.com/articles/d41586-021-03001-8","ff3fcddf7772101e9a52107b5634f5d80b4d54ac2ddcc5e1af09f50024bb09ed","d03571805a9517d50251161d735f2d24"
"Scientists’ fears of racial bias surge amid US crackdown on China ties","Nature","Nature, Published online: 29 October 2021; doi:10.1038/d41586-021-02976-8Poll shows that researchers of Chinese descent worry about surveillance by the US government and have stepped back from collaborations in China.","2021-10-29 00:00:00","Science","https://www.nature.com/articles/d41586-021-02976-8","ff3fcddf7772101e9a52107b5634f5d80b4d54ac2ddcc5e1af09f50024bb09ed","6beda795f4c6620e55d6fd55980583b7"
"Common antidepressant slashes risk of COVID death","Nature","Nature, Published online: 29 October 2021; doi:10.1038/d41586-021-02988-4Fluvoxamine is both inexpensive and highly effective at preventing mild COVID-19 from turning severe.","2021-10-29 00:00:00","Science","https://www.nature.com/articles/d41586-021-02988-4","ff3fcddf7772101e9a52107b5634f5d80b4d54ac2ddcc5e1af09f50024bb09ed","08cd57629f008f5b37489f0a96b0125d"
"Abdul Qadeer Khan (1936–2021)","Nature","Nature, Published online: 29 October 2021; doi:10.1038/d41586-021-02997-3Materials scientist behind Pakistan’s nuclear-weapons business.","2021-10-29 00:00:00","Science","https://www.nature.com/articles/d41586-021-02997-3","ff3fcddf7772101e9a52107b5634f5d80b4d54ac2ddcc5e1af09f50024bb09ed","19778cd2e65c7aeea1b5c259cc621c79"
