,Domain,Feed,Title,Category,Status,Score,OG-Images,Content Type,Creative Instance ID,Destination Domains,Channels,Rank,publisher_id
0,nytimes.com,https://rss.nytimes.com/services/xml/rss/nyt/HomePage.xml,The New York Times,Top News,Enabled,,,article,,www.nytimes.com,Top Sources; Top News,1,9dfe110b0027d7bcbab5be6f42f4512172747474b293449ea25eb5239885c7a2
1,cnn.com,http://rss.cnn.com/rss/cnn_topstories.rss,CNN,Top News,Enabled,,,article,,www.cnn.com,Top Sources; Top News,2,4859ab3e09bd7dbe7ec0b5a573a525b3d48bb3d9b94676ff27364adc8713ef86
2,foxnews.com,https://feeds.feedburner.com/foxnews/latest,FOX News,Top News,Enabled,,,article,,www.foxnews.com,Top Sources; Top News,3,99093819f86832db10786c067e33a0c00d89a1822a12c5ba482ae4ebb7a6904c
3,washingtonpost.com,http://feeds.washingtonpost.com/rss/national,Washington Post,Top News,Enabled,,,article,,www.washingtonpost.com,Top Sources; Top News,4,ab2075bfd5610b595b3313d8d04f8bd04eedd4658db02d0a3ef80a8ee496c245
4,theguardian.com,https://www.theguardian.com/world/rss,The Guardian,World News,Enabled,,,article,,www.theguardian.com,Top Sources; Top News; World News,5,d64709a605cbacc004d98965ab19a65f865631222fc76871fb5e1f98f3156ca9
5,webmd.com,https://rssfeeds.webmd.com/rss/rss.aspx?RSSSource=RSS_PUBLIC,WebMD Health,Health,Enabled,,,article,,www.webmd.com,Top Sources; Health,6,f533b1e7e59c85dd912bbba8560f34b0e186dd102157b4ed4b84e823c268f71f
6,forbes.com,https://www.forbes.com/real-time/feed/,Forbes,Business,Enabled,,,article,,www.forbes.com,Top Sources; Business,7,12959726cb0a285a7056ea6f57b71754d0080605592394ceb9b21eb0ac86a7e3
7,investopedia.com,https://www.investopedia.com/feeds/google-news,Investopedia,Business,Enabled,,,article,,www.investopedia.com,Top Sources; Business,8,c1ab372e9cda2d9695fa8c69fa36a47002c291d53b5302327028e27abe50ad36
8,usnews.com,https://www.usnews.com/rss/news,US News,Top News,Enabled,,,article,,www.usnews.com,Top Sources; Top News,9,3e4b01d03972894295e34f8dbc395745395641ffb3c58d7ec4aab0c545cfac1d
9,nypost.com,https://nypost.com/news/feed,New York Post,Top News,Enabled,,,article,,nypost.com,Top Sources; Top News,10,72f94005a46552687740f8a3469a5c53abc6e658232d5fd2eee4c4d2f6b67099
10,cnet.com,https://www.cnet.com/rss/news/,CNET News,Technology,Enabled,,,article,,www.cnet.com,Top Sources; Technology,11,f5e6f52c79a4e09897863116727a6536cddd4090a73bcdb9519fa0bc5b403e68
11,bbc.com,https://feeds.bbci.co.uk/news/rss.xml?edition=int,BBC,World News,Enabled,,,article,,www.bbc.co.uk,Top Sources; Top News; World News,12,60bef5cb5f18a08ea4ba2311dd5d73cfa4546f8166016e62573e84351beb5f41
12,dailymail.co.uk,https://www.dailymail.co.uk/ushome/index.rss,Daily Mail,World News,Enabled,,,article,,www.dailymail.co.uk,Top Sources; Top News; World News,13,e6f3e4dd1dff0ae2a6245bd77d246991b56fc26c5ec6a7db6816eac0b41089d4
13,businessinsider.com,https://feeds.businessinsider.com/custom/all,Business Insider,Business,Enabled,,,article,,markets.businessinsider.com;www.businessinsider.com;www.insiderintelligence.com,Top Sources; Business,14,5e8ad580afd99bd6aad4eb4be29200d44fd8bbbb2a6fb50661e12ac785731033
14,gamespot.com,https://www.gamespot.com/feeds/news,Gamespot,Gaming,Enabled,,,article,,www.gamespot.com,Top Sources; Entertainment; Gaming,15,cee7d0d7c23f6f55a34386cf9a03396a41ab6ee91b1d98b944639091deaa726a
15,screenrant.com,https://screenrant.com/feed/,Screenrant,Entertainment,Enabled,,,article,,screenrant.com,Top Sources; Entertainment,16,2c1ffc1a0a82b5f605e27212b6ffd5e98153dd13ed1c7804fc59bbda776caece
16,usatoday.com,http://rssfeeds.usatoday.com/usatoday-newstopstories&x=1,USA Today,Top News,Enabled,,,article,,usatoday.com,Top Sources; Top News,17,5811093ffa0444460831abbd723de904556966c38c22e72401a3a37ac3340a9d
17,cbssports.com,https://www.cbssports.com/rss/headlines/,CBSSports,Sports,Enabled,,,article,,www.cbssports.com,Top Sources; Sports,18,953349d4b5a07f7072ce9a5fcadae44eb78c5d799b13087aa7b0e5feddb7134f
18,gamerant.com,https://www.gamerant.com/feed/,Gamerant,Gaming,Enabled,,,article,,gamerant.com,Top Sources; Gaming,19,9a5e160aae83d03f1c73c26c368e57b53f8680c4844abe8b8cad20bb34a92d45
19,wsj.com,https://feeds.a.dj.com/rss/RSSMarketsMain.xml,WSJ,Business,Enabled,,,article,,www.wsj.com,Top Sources; Top News; Business,20,f9f0300092669aadef3f9cd8f0c45f9373c45c9e9fbadb45910ddeefac246571
20,npr.org,https://feeds.npr.org/1001/rss.xml,NPR,Top News,Enabled,,,article,,www.npr.org,Top Sources; Top News,21,04a135552494b3dbf3541c5fbc37af837d67ecc5219340e6b092dfd6820bec7c
21,pcgamer.com,https://www.pcgamer.com/rss,PC Gamer,Gaming,Enabled,,,article,,www.pcgamer.com,Top Sources; Gaming,22,2f0cab24c94f5876668144ce3c6327a2e2c74bd87c82751b358cadc7dc8343fa
